experiment,domain,dataset,seed,model,variant,fit_samples,train_samples,test_samples,n_features,fit_seconds,predict_seconds,split_protocol,accuracy,macro_f1,balanced_accuracy,mcc,minority_recall,g_mean,gb_feature_seconds,n_regions,fit_subset
raw_baseline_v1,industrial_tabular,aps_failure,7,extra_trees,raw,48000,48000,16000,170,2.834172666000086,0.05528133399639046,official first-60000 train / last-16000 test; seeded stratified 80/20 validation inside official train,0.989125,0.8550713773466567,0.7914239999999999,0.7299403083036096,0.584,0.763758621555266,,,
unsupervised_local_structure_v1,industrial_tabular,aps_failure,7,extra_trees,ugbfeat,48000,48000,16000,180,3.359381458001735,0.05355520799639635,official first-60000 train / last-16000 test; seeded stratified 80/20 validation inside official train,0.9885,0.8472316232200461,0.7858986666666667,0.7131435153612267,0.5733333333333334,0.7566060357500021,1.235422291996656,15.0,12000.0
unsupervised_local_structure_v1,industrial_tabular,aps_failure,7,lightgbm,kmeansfeat,48000,48000,16000,180,2.1707137920020614,0.03036512499966193,official first-60000 train / last-16000 test; seeded stratified 80/20 validation inside official train,0.991375,0.9115384615384615,0.9383253333333333,0.8247906358358941,0.8826666666666667,0.9366731254818834,1.235422291996656,15.0,12000.0
raw_baseline_v1,industrial_tabular,aps_failure,7,lightgbm,raw,48000,48000,16000,170,1.9566308339999523,0.026470167002116796,official first-60000 train / last-16000 test; seeded stratified 80/20 validation inside official train,0.99125,0.9104744709161131,0.9382613333333334,0.8227894584389869,0.8826666666666667,0.936612813635745,,,
unsupervised_local_structure_v1,industrial_tabular,aps_failure,7,lightgbm,ugbfeat,48000,48000,16000,180,2.2783982079999987,0.030562957996153273,official first-60000 train / last-16000 test; seeded stratified 80/20 validation inside official train,0.9913125,0.910570642537468,0.9356906666666667,0.8226627328148048,0.8773333333333333,0.9338690729076177,1.235422291996656,15.0,12000.0
unsupervised_local_structure_v1,industrial_tabular,aps_failure,7,random_forest,kmeansfeat,48000,48000,16000,180,8.485927166999318,0.0457315829989966,official first-60000 train / last-16000 test; seeded stratified 80/20 validation inside official train,0.9885,0.8442459567964525,0.7780906666666667,0.7114952016179745,0.5573333333333333,0.7461174742179232,1.235422291996656,15.0,12000.0
raw_baseline_v1,industrial_tabular,aps_failure,7,random_forest,raw,48000,48000,16000,170,6.579780790998484,0.042662250001740176,official first-60000 train / last-16000 test; seeded stratified 80/20 validation inside official train,0.989,0.8515017309329488,0.7848533333333334,0.7256539964075822,0.5706666666666667,0.7550621343086056,,,
unsupervised_local_structure_v1,industrial_tabular,aps_failure,7,random_forest,ugbfeat,48000,48000,16000,180,8.380160707994946,0.044710374997521285,official first-60000 train / last-16000 test; seeded stratified 80/20 validation inside official train,0.987875,0.8330602635238397,0.7647573333333333,0.6925944315838594,0.5306666666666666,0.7280489946883153,1.235422291996656,15.0,12000.0
unsupervised_local_structure_v1,industrial_tabular,aps_failure,7,xgboost,kmeansfeat,48000,48000,16000,180,1.6756845000054454,0.005576291005127132,official first-60000 train / last-16000 test; seeded stratified 80/20 validation inside official train,0.9909375,0.908499421672961,0.9420053333333334,0.8196215931184923,0.8906666666666667,0.9406053313336754,1.235422291996656,15.0,12000.0
raw_baseline_v1,industrial_tabular,aps_failure,7,xgboost,raw,48000,48000,16000,170,1.3523009580021608,0.005137124993780162,official first-60000 train / last-16000 test; seeded stratified 80/20 validation inside official train,0.99025,0.9009647053446048,0.9312426666666667,0.8041386834830976,0.8693333333333333,0.9291825109560913,,,
unsupervised_local_structure_v1,industrial_tabular,aps_failure,7,xgboost,ugbfeat,48000,48000,16000,180,1.5938365420006448,0.005689167002856266,official first-60000 train / last-16000 test; seeded stratified 80/20 validation inside official train,0.99075,0.9064942876223077,0.9393066666666667,0.8155227096759223,0.8853333333333333,0.937754708510351,1.235422291996656,15.0,12000.0
