experiment_id,seed,budget,method,n_blocks,n_corrupt,n_groups,scenario,audit_cost,corruption_recall,detection_probability,time_to_first_detection,worst_case_miss_rate
cloud-auditing-v1-s7,7,100,tree_partition,10000,100,73.0,adversarial,100.0,0.0,0.0,101.0,1.0
cloud-auditing-v1-s7,7,100,uniform,10000,100,,adversarial,100.0,0.012333333333333337,0.7,56.96666666666667,1.0
cloud-auditing-v1-s7,7,100,weighted_random,10000,100,,adversarial,100.0,0.005666666666666668,0.4666666666666667,74.76666666666667,1.0
cloud-auditing-v1-s7,7,250,anomaly_score,10000,100,,adversarial,250.0,0.0016666666666666668,0.16666666666666666,224.96666666666667,1.0
cloud-auditing-v1-s7,7,250,gb_center_only,10000,100,73.0,adversarial,250.0,0.01266666666666667,0.7666666666666667,129.16666666666666,1.0
cloud-auditing-v1-s7,7,250,gb_three_way,10000,100,73.0,adversarial,250.0,0.006333333333333334,0.5,175.8,1.0
cloud-auditing-v1-s7,7,250,granular_ball,10000,100,73.0,adversarial,250.0,0.015000000000000001,0.8333333333333334,138.3,1.0
cloud-auditing-v1-s7,7,250,kmeans_group,10000,100,73.0,adversarial,250.0,0.012666666666666668,0.7333333333333333,137.13333333333333,1.0
cloud-auditing-v1-s7,7,250,risk_score,10000,100,,adversarial,250.0,0.0,0.0,251.0,1.0
cloud-auditing-v1-s7,7,250,tree_partition,10000,100,73.0,adversarial,250.0,0.0,0.0,251.0,1.0
cloud-auditing-v1-s7,7,250,uniform,10000,100,,adversarial,250.0,0.022666666666666672,1.0,70.16666666666667,0.99
cloud-auditing-v1-s7,7,250,weighted_random,10000,100,,adversarial,250.0,0.011333333333333334,0.6666666666666666,140.5,1.0
cloud-auditing-v1-s21,21,50,anomaly_score,10000,100,,adversarial,50.0,0.0003333333333333333,0.03333333333333333,49.833333333333336,1.0
cloud-auditing-v1-s21,21,50,gb_center_only,10000,100,2.0,adversarial,50.0,0.0023333333333333335,0.23333333333333334,45.0,1.0
cloud-auditing-v1-s21,21,50,gb_three_way,10000,100,2.0,adversarial,50.0,0.0016666666666666668,0.16666666666666666,46.2,1.0
cloud-auditing-v1-s21,21,50,granular_ball,10000,100,2.0,adversarial,50.0,0.002,0.13333333333333333,46.2,1.0
cloud-auditing-v1-s21,21,50,kmeans_group,10000,100,2.0,adversarial,50.0,0.005,0.43333333333333335,39.2,1.0
cloud-auditing-v1-s21,21,50,risk_score,10000,100,,adversarial,50.0,0.0,0.0,51.0,1.0
cloud-auditing-v1-s21,21,50,tree_partition,10000,100,2.0,adversarial,50.0,0.0,0.0,51.0,1.0
cloud-auditing-v1-s21,21,50,uniform,10000,100,,adversarial,50.0,0.008,0.6333333333333333,30.966666666666665,1.0
cloud-auditing-v1-s21,21,50,weighted_random,10000,100,,adversarial,50.0,0.002333333333333333,0.2,44.0,1.0
cloud-auditing-v1-s21,21,100,anomaly_score,10000,100,,adversarial,100.0,0.001,0.1,94.03333333333333,1.0
cloud-auditing-v1-s21,21,100,gb_center_only,10000,100,2.0,adversarial,100.0,0.006666666666666668,0.4666666666666667,76.06666666666666,1.0
cloud-auditing-v1-s21,21,100,gb_three_way,10000,100,2.0,adversarial,100.0,0.001,0.1,97.03333333333333,1.0
cloud-auditing-v1-s21,21,100,granular_ball,10000,100,2.0,adversarial,100.0,0.004666666666666667,0.43333333333333335,75.36666666666666,1.0
cloud-auditing-v1-s21,21,100,kmeans_group,10000,100,2.0,adversarial,100.0,0.005333333333333333,0.4,81.06666666666666,1.0
cloud-auditing-v1-s21,21,100,risk_score,10000,100,,adversarial,100.0,0.0,0.0,101.0,1.0
cloud-auditing-v1-s21,21,100,tree_partition,10000,100,2.0,adversarial,100.0,0.0003333333333333333,0.03333333333333333,100.93333333333334,1.0
cloud-auditing-v1-s21,21,100,uniform,10000,100,,adversarial,100.0,0.008,0.5,71.9,1.0
cloud-auditing-v1-s21,21,100,weighted_random,10000,100,,adversarial,100.0,0.006666666666666668,0.5,71.86666666666666,1.0
cloud-auditing-v1-s21,21,250,anomaly_score,10000,100,,adversarial,250.0,0.002,0.2,228.1,1.0
cloud-auditing-v1-s21,21,250,gb_center_only,10000,100,2.0,adversarial,250.0,0.011000000000000003,0.7333333333333333,139.93333333333334,1.0
cloud-auditing-v1-s21,21,250,gb_three_way,10000,100,2.0,adversarial,250.0,0.0036666666666666666,0.3333333333333333,209.26666666666668,1.0
cloud-auditing-v1-s21,21,250,granular_ball,10000,100,2.0,adversarial,250.0,0.016333333333333335,0.8666666666666667,123.16666666666667,1.0
cloud-auditing-v1-s21,21,250,kmeans_group,10000,100,2.0,adversarial,250.0,0.018333333333333333,0.9,113.13333333333334,1.0
cloud-auditing-v1-s21,21,250,risk_score,10000,100,,adversarial,250.0,0.0,0.0,251.0,1.0
cloud-auditing-v1-s21,21,250,tree_partition,10000,100,2.0,adversarial,250.0,0.0,0.0,251.0,1.0
cloud-auditing-v1-s21,21,250,uniform,10000,100,,adversarial,250.0,0.029333333333333336,1.0,76.76666666666667,0.99
cloud-auditing-v1-s21,21,250,weighted_random,10000,100,,adversarial,250.0,0.013000000000000001,0.7333333333333333,140.53333333333333,1.0
cloud-auditing-v1-s42,42,50,anomaly_score,10000,100,,adversarial,50.0,0.0003333333333333333,0.03333333333333333,49.36666666666667,1.0
cloud-auditing-v1-s42,42,50,gb_center_only,10000,100,124.0,adversarial,50.0,0.002333333333333333,0.13333333333333333,46.233333333333334,1.0
cloud-auditing-v1-s42,42,50,gb_three_way,10000,100,124.0,adversarial,50.0,0.001,0.1,47.43333333333333,1.0
cloud-auditing-v1-s42,42,50,granular_ball,10000,100,124.0,adversarial,50.0,0.004,0.3,42.333333333333336,1.0
cloud-auditing-v1-s42,42,50,kmeans_group,10000,100,124.0,adversarial,50.0,0.001,0.1,50.53333333333333,1.0
cloud-auditing-v1-s42,42,50,risk_score,10000,100,,adversarial,50.0,0.0,0.0,51.0,1.0
cloud-auditing-v1-s42,42,50,tree_partition,10000,100,124.0,adversarial,50.0,0.0,0.0,51.0,1.0
cloud-auditing-v1-s42,42,50,uniform,10000,100,,adversarial,50.0,0.0036666666666666666,0.26666666666666666,40.733333333333334,1.0
cloud-auditing-v1-s42,42,50,weighted_random,10000,100,,adversarial,50.0,0.003999999999999999,0.4,39.7,1.0
cloud-auditing-v1-s42,42,100,anomaly_score,10000,100,,adversarial,100.0,0.0016666666666666668,0.16666666666666666,92.23333333333333,1.0
cloud-auditing-v1-s42,42,100,gb_center_only,10000,100,124.0,adversarial,100.0,0.004666666666666667,0.4666666666666667,80.0,1.0
cloud-auditing-v1-s42,42,100,gb_three_way,10000,100,124.0,adversarial,100.0,0.003,0.26666666666666666,84.73333333333333,1.0
cloud-auditing-v1-s42,42,100,granular_ball,10000,100,124.0,adversarial,100.0,0.007666666666666667,0.5,72.96666666666667,1.0
cloud-auditing-v1-s42,42,100,kmeans_group,10000,100,124.0,adversarial,100.0,0.006666666666666667,0.5333333333333333,77.33333333333333,1.0
cloud-auditing-v1-s42,42,100,risk_score,10000,100,,adversarial,100.0,0.0,0.0,101.0,1.0
cloud-auditing-v1-s42,42,100,tree_partition,10000,100,124.0,adversarial,100.0,0.0,0.0,101.0,1.0
cloud-auditing-v1-s42,42,100,uniform,10000,100,,adversarial,100.0,0.010333333333333335,0.8,59.03333333333333,1.0
cloud-auditing-v1-s42,42,100,weighted_random,10000,100,,adversarial,100.0,0.005,0.3333333333333333,81.4,1.0
cloud-auditing-v1-s42,42,250,anomaly_score,10000,100,,adversarial,250.0,0.004,0.4,210.83333333333334,1.0
cloud-auditing-v1-s42,42,250,gb_center_only,10000,100,124.0,adversarial,250.0,0.015000000000000003,0.7666666666666667,141.8,1.0
cloud-auditing-v1-s42,42,250,gb_three_way,10000,100,124.0,adversarial,250.0,0.008666666666666668,0.6333333333333333,167.93333333333334,1.0
cloud-auditing-v1-s42,42,250,granular_ball,10000,100,124.0,adversarial,250.0,0.016,0.9,117.06666666666666,1.0
cloud-auditing-v1-s42,42,250,kmeans_group,10000,100,124.0,adversarial,250.0,0.011000000000000003,0.6333333333333333,175.96666666666667,1.0
cloud-auditing-v1-s42,42,250,risk_score,10000,100,,adversarial,250.0,0.0,0.0,251.0,1.0
cloud-auditing-v1-s42,42,250,tree_partition,10000,100,124.0,adversarial,250.0,0.0,0.0,251.0,1.0
cloud-auditing-v1-s42,42,250,uniform,10000,100,,adversarial,250.0,0.027000000000000003,0.9,90.33333333333333,1.0
cloud-auditing-v1-s42,42,250,weighted_random,10000,100,,adversarial,250.0,0.014,0.7,125.7,1.0
cloud-auditing-v1-s2026,2026,50,anomaly_score,10000,100,,adversarial,50.0,0.0003333333333333333,0.03333333333333333,50.833333333333336,1.0
cloud-auditing-v1-s2026,2026,50,gb_center_only,10000,100,2.0,adversarial,50.0,0.002,0.2,46.4,1.0
cloud-auditing-v1-s2026,2026,50,gb_three_way,10000,100,2.0,adversarial,50.0,0.0003333333333333333,0.03333333333333333,49.7,1.0
cloud-auditing-v1-s2026,2026,50,granular_ball,10000,100,2.0,adversarial,50.0,0.004,0.36666666666666664,40.06666666666667,1.0
cloud-auditing-v1-s2026,2026,50,kmeans_group,10000,100,2.0,adversarial,50.0,0.0036666666666666666,0.3,45.7,1.0
cloud-auditing-v1-s2026,2026,50,risk_score,10000,100,,adversarial,50.0,0.0,0.0,51.0,1.0
cloud-auditing-v1-s2026,2026,50,tree_partition,10000,100,2.0,adversarial,50.0,0.0003333333333333333,0.03333333333333333,50.166666666666664,1.0
cloud-auditing-v1-s2026,2026,50,uniform,10000,100,,adversarial,50.0,0.006333333333333333,0.43333333333333335,40.63333333333333,1.0
cloud-auditing-v1-s2026,2026,50,weighted_random,10000,100,,adversarial,50.0,0.002333333333333333,0.23333333333333334,44.333333333333336,1.0
cloud-auditing-v1-s2026,2026,100,anomaly_score,10000,100,,adversarial,100.0,0.0006666666666666666,0.06666666666666667,97.76666666666667,1.0
cloud-auditing-v1-s2026,2026,100,gb_center_only,10000,100,2.0,adversarial,100.0,0.005000000000000001,0.36666666666666664,81.13333333333334,1.0
cloud-auditing-v1-s2026,2026,100,gb_three_way,10000,100,2.0,adversarial,100.0,0.0003333333333333333,0.03333333333333333,99.16666666666667,1.0
cloud-auditing-v1-s2026,2026,100,granular_ball,10000,100,2.0,adversarial,100.0,0.006666666666666668,0.4666666666666667,77.66666666666667,1.0
cloud-auditing-v1-s2026,2026,100,kmeans_group,10000,100,2.0,adversarial,100.0,0.010000000000000002,0.6,63.666666666666664,1.0
cloud-auditing-v1-s2026,2026,100,risk_score,10000,100,,adversarial,100.0,0.0003333333333333333,0.03333333333333333,100.36666666666666,1.0
cloud-auditing-v1-s2026,2026,100,tree_partition,10000,100,2.0,adversarial,100.0,0.0,0.0,101.0,1.0
