experiment_id,base_config,family,method,condition_a_oracle,condition_b_oracle,positive_global_regret,positive_global_point_fraction,mean_global_regret,max_global_regret,estimated_eps01_oracle_regret,estimated_eps01_condition_a_vs_global,estimated_eps01_cost,estimated_eps01_risk,marginal_value_mean,marginal_value_variance,region_value_variance,region_scores_json
v2thy-B00-s1,B00,B,kmeans,True,True,True,0.4,0.009399999999999992,0.033999999999999975,0,True,4,0.26,0.03999999999999998,0,0.0,"[0.03999999999999998, 0.03999999999999998, 0.03999999999999998]"
v2thy-B00-s2026,B00,B,kmeans,True,True,True,0.6,0.006800000000000006,0.016000000000000014,0,True,4,0.26,0.02000485436893203,0.00039980584880761576,0.0,"[0.02000485436893203, 0.02000485436893203, 0.02000485436893203]"
v2thy-B00-s21,B00,B,kmeans,True,True,True,0.5,0.0040000000000000036,0.014000000000000012,0,True,5,0.26,0.005015277777777776,7.484730516975302e-05,6.155704637250412e-07,"[0.005015277777777776, 0.005015277777777776, 0.0066796296296296265]"
v2thy-B00-s42,B00,B,kmeans,True,True,True,0.4,0.010699999999999993,0.03999999999999998,0,False,3,0.3,0.03999999999999998,0,0.0,"[0.03999999999999998, 0.03999999999999998, 0.03999999999999998]"
v2thy-B00-s7,B00,B,kmeans,True,False,True,0.3,0.0010000000000000009,0.0040000000000000036,0,True,10,0.26,0.005714285714285712,0,0.0,"[0.005714285714285712, 0.005714285714285712, 0.005714285714285712]"
v2thy-B01-s1,B01,B,kmeans,True,True,True,0.5,0.0219,0.12399999999999999,0,True,4,0.08,0.12000000000000001,0,0.0,"[0.12000000000000001, 0.12000000000000001, 0.12000000000000001]"
v2thy-B01-s2026,B01,B,kmeans,True,True,True,0.4,0.0224,0.12200000000000001,0,True,4,0.08,0.0400989010989011,0.0031920928229279884,0.0014187079123562643,"[0.12000000000000001, 0.0400989010989011, 0.0400989010989011]"
v2thy-B01-s21,B01,B,kmeans,True,True,True,0.5,0.0245,0.12300000000000001,0,False,4,0.08,0.12000000000000001,0,0.0,"[0.12000000000000001, 0.12000000000000001, 0.12000000000000001]"
v2thy-B01-s42,B01,B,kmeans,True,True,True,0.5,0.0196,0.12399999999999999,0,False,4,0.08,0.12000000000000001,0,0.0,"[0.12000000000000001, 0.12000000000000001, 0.12000000000000001]"
v2thy-B01-s7,B01,B,kmeans,True,True,True,0.5,0.0196,0.12000000000000001,0,True,4,0.08,0.12000000000000001,0,0.0,"[0.12000000000000001, 0.12000000000000001, 0.12000000000000001]"
v2thy-B02-s1,B02,B,kmeans,False,True,True,0.8,0.017400000000000016,0.03300000000000003,0,False,4,0.32,0.02681461988304094,0.0014143424157860543,0.0,"[0.02681461988304094, 0.02681461988304094, 0.02681461988304094]"
v2thy-B02-s2026,B02,B,kmeans,True,True,True,0.8,0.017400000000000016,0.026000000000000023,0,True,4,0.32,0.027076923076923082,0.0014005680473372787,0.0,"[0.027076923076923082, 0.027076923076923082, 0.027076923076923082]"
v2thy-B02-s21,B02,B,kmeans,True,True,True,0.8,0.012800000000000011,0.02200000000000002,0,True,4,0.32,0.016206825434627297,0.0010174563844886466,0.0,"[0.016206825434627297, 0.016206825434627297, 0.016206825434627297]"
v2thy-B02-s42,B02,B,kmeans,False,True,True,0.8,0.020599999999999997,0.035999999999999976,0,False,4,0.32,0.040023255813953496,0.0015981400757166043,0.0,"[0.040023255813953496, 0.040023255813953496, 0.040023255813953496]"
v2thy-B02-s7,B02,B,kmeans,True,True,True,0.8,0.036800000000000006,0.05299999999999999,0,True,4,0.32,0.041714285714285725,0.0014657959183673474,0.0,"[0.041714285714285725, 0.041714285714285725, 0.041714285714285725]"
v2thy-B03-s1,B03,B,kmeans,True,True,True,0.7,0.004100000000000001,0.01999999999999999,0,False,4,0.13,0.0003369047619047622,1.4731717687074857e-07,1.7401878446852021e-09,"[0.0003369047619047622, 0.0004253968253968258, 0.0003369047619047622]"
v2thy-B03-s2026,B03,B,kmeans,True,False,True,0.9,0.0036000000000000034,0.006000000000000005,0,False,4,0.13,0.0010294117647058833,9.420415224913511e-07,2.3548635140330685e-07,"[0.0010294117647058833, 0, 0.0010294117647058833]"
v2thy-B03-s21,B03,B,kmeans,False,True,True,0.9,0.008799999999999999,0.02099999999999999,0,False,4,0.13,0,0,0,"[0, 0, 0]"
v2thy-B03-s42,B03,B,kmeans,True,True,True,0.9,0.009199999999999991,0.016999999999999987,0,False,4,0.13,4.1666666666666706e-05,0,3.858024691358032e-10,"[4.1666666666666706e-05, 0, 4.1666666666666706e-05]"
v2thy-B03-s7,B03,B,kmeans,True,True,True,0.9,0.007000000000000006,0.015000000000000013,0,False,4,0.13,0.0050000000000000044,0,5.555555555555565e-06,"[0.0050000000000000044, 0.0050000000000000044, 0]"
v2thy-B04-s1,B04,B,kmeans,False,True,True,0.6,0.008339999999999992,0.019600000000000006,0,False,4,0.26,0.03999999999999998,0,0.0,"[0.03999999999999998, 0.03999999999999998, 0.03999999999999998]"
v2thy-B04-s2026,B04,B,kmeans,True,True,True,0.6,0.0038399999999999936,0.010000000000000009,0,True,4,0.26,0.03999999999999998,0,0.0,"[0.03999999999999998, 0.03999999999999998, 0.03999999999999998]"
v2thy-B04-s21,B04,B,kmeans,False,True,True,0.6,0.006099999999999994,0.014600000000000002,0,False,4,0.26,0.03999999999999998,0,0.0,"[0.03999999999999998, 0.03999999999999998, 0.03999999999999998]"
v2thy-B04-s42,B04,B,kmeans,False,True,True,0.6,0.012059999999999993,0.029799999999999993,0,False,3,0.3,0.03999999999999998,0,0.0,"[0.03999999999999998, 0.03999999999999998, 0.03999999999999998]"
v2thy-B04-s7,B04,B,kmeans,True,True,True,0.6,0.007220000000000009,0.020000000000000018,0,True,4,0.26,0.020000445434298433,0.0003999821828264737,0.0,"[0.020000445434298433, 0.020000445434298433, 0.020000445434298433]"
v2thy-B05-s1,B05,B,kmeans,True,False,True,0.6,0.0015000000000000013,0.007000000000000006,0,False,11,0.094,0.0001256362058993639,9.348604283376073e-09,1.5031314069252447e-10,"[0.0001256362058993639, 9.774436090225572e-05, 0.00012133097165991914]"
v2thy-B05-s2026,B05,B,kmeans,False,True,True,0.9,0.008399999999999994,0.011999999999999997,0.0059999999999999915,False,16,0.087,0.00017628205128205146,2.4665105193951394e-08,6.905635912046182e-09,"[0.00017628205128205146, 0.00017628205128205146, 0]"
