experiment_id,case,method,accuracy_gap,global_knn_mixing,within_ball_knn_mixing,mixed_ball_ratio,weighted_impurity,fragmentation_ratio
bmv1-cb04-adaptive-s1,cb04,adaptive,-0.022222222222222143,0.15666666666666668,0.05666666666666667,0.2523809523809524,0.033333333333333326,0.21904761904761905
bmv1-cb04-adaptive-s2026,cb04,adaptive,-0.07777777777777772,0.18333333333333332,0.05619047619047619,0.36666666666666664,0.09523809523809523,0.20238095238095238
bmv1-cb04-adaptive-s21,cb04,adaptive,-0.07777777777777772,0.18428571428571427,0.09428571428571429,0.36428571428571427,0.06190476190476191,0.2119047619047619
bmv1-cb04-adaptive-s42,cb04,adaptive,-0.016666666666666607,0.17476190476190476,0.06142857142857143,0.25476190476190474,0.05,0.2119047619047619
bmv1-cb04-adaptive-s7,cb04,adaptive,-0.033333333333333326,0.1761904761904762,0.060476190476190475,0.35714285714285715,0.04285714285714285,0.18571428571428572
bmv1-cb04-original-s1,cb04,original,-0.05555555555555547,0.15666666666666668,0.05095238095238095,0.46904761904761905,0.0380952380952381,0.19523809523809524
bmv1-cb04-original-s2026,cb04,original,0.005555555555555647,0.18333333333333332,0.04190476190476191,0.3595238095238095,0.03571428571428571,0.23095238095238096
bmv1-cb04-original-s21,cb04,original,-0.011111111111111072,0.18428571428571427,0.05095238095238095,0.45714285714285713,0.03333333333333333,0.14285714285714285
bmv1-cb04-original-s42,cb04,original,-0.022222222222222143,0.17476190476190476,0.047142857142857146,0.3238095238095238,0.03333333333333333,0.2523809523809524
bmv1-cb04-original-s7,cb04,original,-0.03888888888888886,0.1761904761904762,0.06,0.4166666666666667,0.04285714285714287,0.1880952380952381
bmv1-cb06-adaptive-s1,cb06,adaptive,-0.022222222222222254,0.2557142857142857,0.08714285714285715,0.2619047619047619,0.05476190476190476,0.28809523809523807
bmv1-cb06-adaptive-s2026,cb06,adaptive,-0.011111111111111183,0.24523809523809523,0.07761904761904763,0.25952380952380955,0.05,0.2857142857142857
bmv1-cb06-adaptive-s21,cb06,adaptive,-0.022222222222222143,0.24285714285714285,0.09,0.3142857142857143,0.07380952380952381,0.25952380952380955
bmv1-cb06-adaptive-s42,cb06,adaptive,0.01666666666666672,0.28095238095238095,0.11380952380952382,0.34523809523809523,0.07857142857142857,0.31666666666666665
bmv1-cb06-adaptive-s7,cb06,adaptive,0.0,0.25476190476190474,0.06666666666666667,0.2523809523809524,0.03809523809523809,0.28095238095238095
bmv1-cb06-original-s1,cb06,original,0.005555555555555536,0.2557142857142857,0.047619047619047616,0.2761904761904762,0.03095238095238096,0.37857142857142856
bmv1-cb06-original-s2026,cb06,original,0.022222222222222143,0.24523809523809523,0.019523809523809523,0.11666666666666667,0.014285714285714292,0.38095238095238093
bmv1-cb06-original-s21,cb06,original,0.033333333333333326,0.24285714285714285,0.030952380952380953,0.20476190476190476,0.021428571428571425,0.38333333333333336
bmv1-cb06-original-s42,cb06,original,0.050000000000000044,0.28095238095238095,0.041428571428571426,0.2714285714285714,0.028571428571428574,0.3904761904761905
bmv1-cb06-original-s7,cb06,original,0.011111111111111072,0.25476190476190474,0.030952380952380953,0.16904761904761906,0.021428571428571432,0.3595238095238095
bmv1-gx25-adaptive-s1,gx25,adaptive,0.0,0.0,0.0,0.0,0.0,0.009523809523809525
bmv1-gx25-adaptive-s2026,gx25,adaptive,0.0,0.0004761904761904762,0.0,0.0,0.0,0.014285714285714285
bmv1-gx25-adaptive-s21,gx25,adaptive,0.0,0.0009523809523809524,0.0047619047619047615,0.24523809523809523,0.00476190476190476,0.009523809523809525
bmv1-gx25-adaptive-s42,gx25,adaptive,0.0,0.0009523809523809524,0.0,0.0,0.0,0.016666666666666666
bmv1-gx25-adaptive-s7,gx25,adaptive,0.0,0.0,0.0,0.0,0.0,0.014285714285714285
bmv1-gx25-original-s1,gx25,original,0.0,0.0,0.0,0.0,0.0,0.009523809523809525
bmv1-gx25-original-s2026,gx25,original,0.0,0.0004761904761904762,0.0,0.0,0.0,0.009523809523809525
bmv1-gx25-original-s21,gx25,original,0.0,0.0009523809523809524,0.0,0.0,0.0,0.009523809523809525
bmv1-gx25-original-s42,gx25,original,0.0,0.0009523809523809524,0.0,0.0,0.0,0.009523809523809525
bmv1-gx25-original-s7,gx25,original,0.0,0.0,0.0,0.0,0.0,0.009523809523809525
bmv1-gx40-adaptive-s1,gx40,adaptive,0.0,0.02095238095238095,0.013333333333333332,0.7523809523809524,0.009523809523809518,0.02142857142857143
bmv1-gx40-adaptive-s2026,gx40,adaptive,-0.016666666666666607,0.03619047619047619,0.037142857142857144,0.6404761904761904,0.023809523809523798,0.03571428571428571
bmv1-gx40-adaptive-s21,gx40,adaptive,-0.033333333333333326,0.03238095238095238,0.027142857142857142,0.25952380952380955,0.014285714285714282,0.03333333333333333
bmv1-gx40-adaptive-s42,gx40,adaptive,-0.03888888888888886,0.01904761904761905,0.02571428571428571,0.6476190476190476,0.016666666666666677,0.01904761904761905
bmv1-gx40-adaptive-s7,gx40,adaptive,0.0,0.02,0.021904761904761903,0.4738095238095238,0.011904761904761892,0.030952380952380953
