v1_id,v2_id,nearest_center_gap,center_minus_radius_gap,gap_shift,sign_flip,failure_threshold_flip
xorv1-d010-o05-original-s2026,xorv2-d010-o05-original-s2026,-0.06000000000000005,-0.033333333333333326,0.026666666666666727,0,1
xorv1-d010-o05-original-s21,xorv2-d010-o05-original-s21,-0.020000000000000018,0.0,0.020000000000000018,1,0
xorv1-d010-o05-original-s42,xorv2-d010-o05-original-s42,-0.03333333333333344,-0.020000000000000018,0.01333333333333342,0,0
xorv1-d010-o05-original-s7,xorv2-d010-o05-original-s7,-0.013333333333333308,-0.013333333333333308,0.0,0,0
xorv1-d010-o25-adaptive-s1,xorv2-d010-o25-adaptive-s1,-0.08666666666666667,-0.07333333333333336,0.013333333333333308,0,0
xorv1-d010-o25-adaptive-s2026,xorv2-d010-o25-adaptive-s2026,-0.06666666666666676,-0.033333333333333326,0.03333333333333344,0,1
xorv1-d010-o25-adaptive-s21,xorv2-d010-o25-adaptive-s21,-0.026666666666666616,-0.013333333333333308,0.013333333333333308,0,0
xorv1-d010-o25-adaptive-s42,xorv2-d010-o25-adaptive-s42,-0.07999999999999996,-0.013333333333333308,0.06666666666666665,0,1
xorv1-d010-o25-adaptive-s7,xorv2-d010-o25-adaptive-s7,-0.05999999999999994,-0.05999999999999994,0.0,0,0
xorv1-d010-o25-original-s1,xorv2-d010-o25-original-s1,-0.08666666666666667,-0.033333333333333326,0.053333333333333344,0,1
xorv1-d010-o25-original-s2026,xorv2-d010-o25-original-s2026,-0.06666666666666676,-0.053333333333333344,0.01333333333333342,0,0
xorv1-d010-o25-original-s21,xorv2-d010-o25-original-s21,-0.11333333333333329,-0.039999999999999925,0.07333333333333336,0,1
xorv1-d010-o25-original-s42,xorv2-d010-o25-original-s42,-0.033333333333333326,-0.040000000000000036,-0.00666666666666671,0,0
xorv1-d010-o25-original-s7,xorv2-d010-o25-original-s7,-0.1266666666666667,-0.053333333333333344,0.07333333333333336,0,0
xorv1-d020-o05-adaptive-s1,xorv2-d020-o05-adaptive-s1,-0.06666666666666665,-0.026666666666666727,0.039999999999999925,0,1
xorv1-d020-o05-adaptive-s2026,xorv2-d020-o05-adaptive-s2026,-0.020000000000000018,-0.013333333333333308,0.00666666666666671,0,0
xorv1-d020-o05-adaptive-s21,xorv2-d020-o05-adaptive-s21,-0.020000000000000018,-0.020000000000000018,0.0,0,0
xorv1-d020-o05-adaptive-s42,xorv2-d020-o05-adaptive-s42,-0.07333333333333336,-0.020000000000000018,0.053333333333333344,0,1
xorv1-d020-o05-adaptive-s7,xorv2-d020-o05-adaptive-s7,-0.020000000000000018,-0.020000000000000018,0.0,0,0
xorv1-d020-o05-original-s1,xorv2-d020-o05-original-s1,-0.020000000000000018,-0.013333333333333308,0.00666666666666671,0,0
xorv1-d020-o05-original-s2026,xorv2-d020-o05-original-s2026,-0.033333333333333326,-0.046666666666666634,-0.013333333333333308,0,0
xorv1-d020-o05-original-s21,xorv2-d020-o05-original-s21,-0.046666666666666634,-0.033333333333333326,0.013333333333333308,0,0
xorv1-d020-o05-original-s42,xorv2-d020-o05-original-s42,-0.00666666666666671,0.006666666666666599,0.013333333333333308,1,0
xorv1-d020-o05-original-s7,xorv2-d020-o05-original-s7,-0.040000000000000036,-0.033333333333333326,0.00666666666666671,0,0
xorv1-d020-o25-adaptive-s1,xorv2-d020-o25-adaptive-s1,-0.09999999999999998,-0.046666666666666745,0.05333333333333323,0,1
xorv1-d020-o25-adaptive-s2026,xorv2-d020-o25-adaptive-s2026,-0.040000000000000036,-0.033333333333333326,0.00666666666666671,0,0
xorv1-d020-o25-adaptive-s21,xorv2-d020-o25-adaptive-s21,-0.07333333333333336,-0.06000000000000005,0.013333333333333308,0,0
xorv1-d020-o25-adaptive-s42,xorv2-d020-o25-adaptive-s42,-0.07333333333333336,-0.053333333333333344,0.020000000000000018,0,0
xorv1-d020-o25-adaptive-s7,xorv2-d020-o25-adaptive-s7,-0.1333333333333333,0.0,0.1333333333333333,1,1
xorv1-d020-o25-original-s1,xorv2-d020-o25-original-s1,-0.06000000000000005,-0.026666666666666727,0.033333333333333326,0,1
xorv1-d020-o25-original-s2026,xorv2-d020-o25-original-s2026,-0.07333333333333336,0.0,0.07333333333333336,1,1
xorv1-d020-o25-original-s21,xorv2-d020-o25-original-s21,-0.1133333333333334,-0.033333333333333326,0.08000000000000007,0,1
xorv1-d020-o25-original-s42,xorv2-d020-o25-original-s42,-0.046666666666666745,-0.026666666666666727,0.020000000000000018,0,0
xorv1-d020-o25-original-s7,xorv2-d020-o25-original-s7,-0.08666666666666667,-0.08666666666666667,0.0,0,0
xorv1-d050-o05-adaptive-s1,xorv2-d050-o05-adaptive-s1,-0.06000000000000005,-0.026666666666666727,0.033333333333333326,0,1
xorv1-d050-o05-adaptive-s2026,xorv2-d050-o05-adaptive-s2026,-0.040000000000000036,-0.053333333333333344,-0.013333333333333308,0,1
xorv1-d050-o05-adaptive-s21,xorv2-d050-o05-adaptive-s21,-0.06000000000000005,-0.026666666666666727,0.033333333333333326,0,1
xorv1-d050-o05-adaptive-s42,xorv2-d050-o05-adaptive-s42,-0.03333333333333344,-0.03333333333333344,0.0,0,0
xorv1-d050-o05-adaptive-s7,xorv2-d050-o05-adaptive-s7,-0.013333333333333308,-0.013333333333333308,0.0,0,0
xorv1-d050-o05-original-s1,xorv2-d050-o05-original-s1,-0.020000000000000018,-0.00666666666666671,0.013333333333333308,0,0
xorv1-d050-o05-original-s2026,xorv2-d050-o05-original-s2026,-0.033333333333333326,-0.06666666666666665,-0.033333333333333326,0,1
xorv1-d050-o05-original-s21,xorv2-d050-o05-original-s21,0.0,-0.020000000000000018,-0.020000000000000018,1,0
xorv1-d050-o05-original-s42,xorv2-d050-o05-original-s42,-0.020000000000000018,-0.03333333333333344,-0.01333333333333342,0,0
xorv1-d050-o05-original-s7,xorv2-d050-o05-original-s7,0.00666666666666671,0.020000000000000018,0.013333333333333308,0,0
xorv1-d050-o25-adaptive-s1,xorv2-d050-o25-adaptive-s1,-0.026666666666666616,-0.026666666666666616,0.0,0,0
xorv1-d050-o25-adaptive-s2026,xorv2-d050-o25-adaptive-s2026,0.013333333333333308,0.020000000000000018,0.00666666666666671,0,0
xorv1-d050-o25-adaptive-s21,xorv2-d050-o25-adaptive-s21,-0.08666666666666667,-0.040000000000000036,0.046666666666666634,0,1
xorv1-d050-o25-adaptive-s42,xorv2-d050-o25-adaptive-s42,-0.053333333333333344,-0.033333333333333326,0.020000000000000018,0,1
xorv1-d050-o25-adaptive-s7,xorv2-d050-o25-adaptive-s7,-0.033333333333333326,-0.046666666666666634,-0.013333333333333308,0,0
xorv1-d050-o25-original-s1,xorv2-d050-o25-original-s1,-0.08666666666666667,-0.046666666666666634,0.040000000000000036,0,1
xorv1-d050-o25-original-s2026,xorv2-d050-o25-original-s2026,-0.1133333333333334,-0.046666666666666634,0.06666666666666676,0,1
xorv1-d050-o25-original-s21,xorv2-d050-o25-original-s21,-0.10000000000000009,-0.046666666666666745,0.053333333333333344,0,1
xorv1-d050-o25-original-s42,xorv2-d050-o25-original-s42,-0.06666666666666665,0.006666666666666599,0.07333333333333325,1,1
xorv1-d050-o25-original-s7,xorv2-d050-o25-original-s7,-0.1266666666666667,-0.053333333333333344,0.07333333333333336,0,0
xorv1-d100-o05-adaptive-s1,xorv2-d100-o05-adaptive-s1,-0.046666666666666634,-0.039999999999999925,0.00666666666666671,0,0
xorv1-d100-o05-adaptive-s2026,xorv2-d100-o05-adaptive-s2026,-0.08666666666666667,-0.06666666666666665,0.020000000000000018,0,0
xorv1-d100-o05-adaptive-s21,xorv2-d100-o05-adaptive-s21,-0.013333333333333308,-0.013333333333333308,0.0,0,0
xorv1-d100-o05-adaptive-s42,xorv2-d100-o05-adaptive-s42,-0.01333333333333342,-0.00666666666666671,0.00666666666666671,0,0
xorv1-d100-o05-adaptive-s7,xorv2-d100-o05-adaptive-s7,-0.033333333333333326,0.0,0.033333333333333326,1,0
xorv1-d100-o05-original-s1,xorv2-d100-o05-original-s1,-0.006666666666666599,0.0,0.006666666666666599,1,0
xorv1-d100-o05-original-s2026,xorv2-d100-o05-original-s2026,-0.053333333333333344,-0.053333333333333344,0.0,0,0
xorv1-d100-o05-original-s21,xorv2-d100-o05-original-s21,-0.053333333333333344,-0.020000000000000018,0.033333333333333326,0,1
xorv1-d100-o05-original-s42,xorv2-d100-o05-original-s42,-0.020000000000000018,-0.03333333333333344,-0.01333333333333342,0,0
xorv1-d100-o05-original-s7,xorv2-d100-o05-original-s7,-0.026666666666666616,-0.013333333333333308,0.013333333333333308,0,0
xorv1-d100-o25-adaptive-s1,xorv2-d100-o25-adaptive-s1,-0.07333333333333336,-0.06666666666666665,0.00666666666666671,0,0
xorv1-d100-o25-adaptive-s2026,xorv2-d100-o25-adaptive-s2026,-0.08000000000000007,-0.020000000000000018,0.06000000000000005,0,1
xorv1-d100-o25-adaptive-s21,xorv2-d100-o25-adaptive-s21,-0.07333333333333325,-0.046666666666666634,0.026666666666666616,0,1
xorv1-d100-o25-adaptive-s42,xorv2-d100-o25-adaptive-s42,-0.020000000000000018,-0.020000000000000018,0.0,0,0
xorv1-d100-o25-adaptive-s7,xorv2-d100-o25-adaptive-s7,-0.06000000000000005,-0.046666666666666745,0.013333333333333308,0,1
xorv1-d100-o25-original-s1,xorv2-d100-o25-original-s1,-0.08000000000000007,-0.046666666666666745,0.033333333333333326,0,1
xorv1-d100-o25-original-s2026,xorv2-d100-o25-original-s2026,-0.16000000000000003,-0.026666666666666727,0.1333333333333333,0,1
xorv1-d100-o25-original-s21,xorv2-d100-o25-original-s21,-0.06666666666666665,-0.026666666666666616,0.040000000000000036,0,1
xorv1-d100-o25-original-s42,xorv2-d100-o25-original-s42,-0.08000000000000007,0.0,0.08000000000000007,1,1
xorv1-d100-o25-original-s7,xorv2-d100-o25-original-s7,-0.10000000000000009,-0.053333333333333344,0.046666666666666745,0,0
xorv1-d500-o05-adaptive-s1,xorv2-d500-o05-adaptive-s1,-0.039999999999999925,-0.033333333333333326,0.006666666666666599,0,0
xorv1-d500-o05-adaptive-s2026,xorv2-d500-o05-adaptive-s2026,-0.00666666666666671,-0.020000000000000018,-0.013333333333333308,0,0
xorv1-d500-o05-adaptive-s21,xorv2-d500-o05-adaptive-s21,-0.026666666666666727,-0.013333333333333308,0.01333333333333342,0,0
xorv1-d500-o05-adaptive-s42,xorv2-d500-o05-adaptive-s42,-0.053333333333333344,-0.040000000000000036,0.013333333333333308,0,1
xorv1-d500-o05-adaptive-s7,xorv2-d500-o05-adaptive-s7,0.013333333333333308,0.0,-0.013333333333333308,1,0
xorv1-d500-o05-original-s1,xorv2-d500-o05-original-s1,0.00666666666666671,0.0,-0.00666666666666671,1,0
xorv1-d500-o05-original-s2026,xorv2-d500-o05-original-s2026,-0.013333333333333308,-0.013333333333333308,0.0,0,0
xorv1-d500-o05-original-s21,xorv2-d500-o05-original-s21,-0.033333333333333326,-0.033333333333333326,0.0,0,0
xorv1-d500-o05-original-s42,xorv2-d500-o05-original-s42,-0.040000000000000036,-0.01333333333333342,0.026666666666666616,0,0
xorv1-d500-o05-original-s7,xorv2-d500-o05-original-s7,-0.020000000000000018,-0.026666666666666727,-0.00666666666666671,0,0
xorv1-d500-o25-adaptive-s1,xorv2-d500-o25-adaptive-s1,-0.1333333333333333,-0.09333333333333327,0.040000000000000036,0,0
xorv1-d500-o25-adaptive-s2026,xorv2-d500-o25-adaptive-s2026,-0.07333333333333336,-0.040000000000000036,0.033333333333333326,0,1
xorv1-d500-o25-adaptive-s21,xorv2-d500-o25-adaptive-s21,-0.10666666666666669,-0.046666666666666634,0.06000000000000005,0,1
xorv1-d500-o25-adaptive-s42,xorv2-d500-o25-adaptive-s42,-0.06666666666666665,-0.020000000000000018,0.046666666666666634,0,1
xorv1-d500-o25-adaptive-s7,xorv2-d500-o25-adaptive-s7,-0.06666666666666665,-0.06666666666666665,0.0,0,0
xorv1-d500-o25-original-s1,xorv2-d500-o25-original-s1,-0.14,-0.06666666666666665,0.07333333333333336,0,0
xorv1-d500-o25-original-s2026,xorv2-d500-o25-original-s2026,-0.06000000000000005,-0.040000000000000036,0.020000000000000018,0,1
xorv1-d500-o25-original-s21,xorv2-d500-o25-original-s21,-0.09999999999999998,-0.026666666666666616,0.07333333333333336,0,1
xorv1-d500-o25-original-s42,xorv2-d500-o25-original-s42,-0.06666666666666665,-0.020000000000000018,0.046666666666666634,0,1
xorv1-d500-o25-original-s7,xorv2-d500-o25-original-s7,-0.10666666666666669,-0.053333333333333344,0.053333333333333344,0,0
altv1-cb02-adaptive-s1,altv2-cb02-adaptive-s1,-0.03888888888888886,-0.050000000000000044,-0.011111111111111183,0,1
altv1-cb02-adaptive-s2026,altv2-cb02-adaptive-s2026,-0.061111111111111116,-0.05555555555555558,0.005555555555555536,0,0
altv1-cb02-adaptive-s21,altv2-cb02-adaptive-s21,-0.03888888888888886,0.005555555555555536,0.0444444444444444,1,0
altv1-cb02-adaptive-s42,altv2-cb02-adaptive-s42,-0.04444444444444451,-0.022222222222222254,0.022222222222222254,0,0
altv1-cb02-adaptive-s7,altv2-cb02-adaptive-s7,-0.0444444444444444,-0.050000000000000044,-0.005555555555555647,0,1
altv1-cb02-original-s1,altv2-cb02-original-s1,0.0,0.0,0.0,0,0
altv1-cb02-original-s2026,altv2-cb02-original-s2026,0.0,0.0,0.0,0,0
altv1-cb02-original-s21,altv2-cb02-original-s21,0.016666666666666607,0.0,-0.016666666666666607,1,0
altv1-cb02-original-s42,altv2-cb02-original-s42,-0.061111111111111116,-0.0722222222222223,-0.011111111111111183,0,0
altv1-cb02-original-s7,altv2-cb02-original-s7,-0.07222222222222219,-0.06666666666666665,0.005555555555555536,0,0
altv1-cb04-adaptive-s1,altv2-cb04-adaptive-s1,-0.02777777777777768,-0.022222222222222143,0.005555555555555536,0,0
altv1-cb04-adaptive-s2026,altv2-cb04-adaptive-s2026,-0.12222222222222223,-0.07777777777777772,0.04444444444444451,0,0
altv1-cb04-adaptive-s21,altv2-cb04-adaptive-s21,-0.11111111111111116,-0.07777777777777772,0.03333333333333344,0,0
altv1-cb04-adaptive-s42,altv2-cb04-adaptive-s42,-0.07777777777777772,-0.016666666666666607,0.061111111111111116,0,1
altv1-cb04-adaptive-s7,altv2-cb04-adaptive-s7,-0.04444444444444451,-0.033333333333333326,0.011111111111111183,0,0
altv1-cb04-original-s1,altv2-cb04-original-s1,-0.0444444444444444,-0.05555555555555547,-0.011111111111111072,0,1
altv1-cb04-original-s2026,altv2-cb04-original-s2026,-0.022222222222222143,0.005555555555555647,0.02777777777777779,1,0
altv1-cb04-original-s21,altv2-cb04-original-s21,-0.061111111111111116,-0.011111111111111072,0.050000000000000044,0,1
altv1-cb04-original-s42,altv2-cb04-original-s42,-0.061111111111111116,-0.022222222222222143,0.03888888888888897,0,1
altv1-cb04-original-s7,altv2-cb04-original-s7,-0.07777777777777783,-0.03888888888888886,0.03888888888888897,0,1
altv1-cb06-adaptive-s1,altv2-cb06-adaptive-s1,-0.0444444444444444,-0.022222222222222254,0.022222222222222143,0,0
altv1-cb06-adaptive-s2026,altv2-cb06-adaptive-s2026,-0.04444444444444451,-0.011111111111111183,0.033333333333333326,0,0
