dataset,m01_accuracy,baseline_accuracy,accuracy_delta,m01_granules,baseline_granules,granule_delta
openml-1462-banknote-authentication,0.9870550161812298,0.9563106796116505,0.03074433656957931,21.666666666666668,15.666666666666666,6.000000000000002
openml-1489-phoneme,0.8662222222222222,0.8597777777777778,0.006444444444444475,777,602.6666666666666,174.33333333333337
openml-151-electricity,0.6984444444444444,0.698,0.0004444444444444695,1953.3333333333333,1622.6666666666667,330.6666666666665
openml-40-sonar,0.8148148148148148,0.798941798941799,0.015873015873015817,66,58,8
openml-59-ionosphere,0.710691823899371,0.7547169811320755,-0.044025157232704504,58.333333333333336,14.666666666666666,43.66666666666667
