kind,strategy,runs,mean_accuracy,mean_macro_f1,mean_update_seconds,mean_granules,emerging_recall
concept_drift,full_rebuild,3,0.6298148148148148,0.6284633509706543,0.1119578209637203,324.53333333333336,
concept_drift,no_update,3,0.4275925925925926,0.42701487075460415,1.1888887793584553e-07,2.6666666666666665,
concept_drift,sgd_online,3,0.8712962962962962,0.8703400634362103,0.00018108025903563462,,
concept_drift,sliding_rebuild,3,0.7737037037037037,0.7729504409492259,0.014317155814313554,39.266666666666666,
covariate_shift,full_rebuild,3,0.8957407407407407,0.8865523588498878,0.001525504592724179,2.0,
covariate_shift,no_update,3,0.7203703703703704,0.642215793419236,1.3433358011146385e-07,2.0,
covariate_shift,sgd_online,3,0.9959259259259259,0.9959028975664456,0.0001842052960354421,,
covariate_shift,sliding_rebuild,3,0.9933333333333333,0.9932904657236863,0.0006618749631107441,2.0,
density_drift,full_rebuild,3,0.9337037037037037,0.9333265020260403,0.0010727670367621748,2.0,
density_drift,no_update,3,0.9361111111111112,0.9357182958873853,1.1881557939988043e-07,2.0,
density_drift,sgd_online,3,0.9255555555555557,0.9240214431994279,0.00018527929717459269,,
density_drift,sliding_rebuild,3,0.9314814814814815,0.9310513332750066,0.003377867258947205,8.6,
disappearing_class,full_rebuild,3,1.0,1.0,0.000879427481440534,2.0,
disappearing_class,no_update,3,1.0,1.0,1.219625658079706e-07,2.0,
disappearing_class,sgd_online,3,0.9996296296296296,0.9992737835875091,0.0001934337789727444,,
disappearing_class,sliding_rebuild,3,1.0,1.0,0.0005307621850752859,1.8,
emerging_class,full_rebuild,3,0.979074074074074,0.9186450213432412,0.001149534074270546,2.5,0.6
emerging_class,no_update,3,0.8707407407407407,0.7664104403004557,1.374078069434122e-07,2.0,0.0
emerging_class,sgd_online,3,0.9951851851851852,0.9613552850135665,0.0004840601476543169,,0.8
emerging_class,sliding_rebuild,3,0.9840740740740741,0.9327605677933695,0.0007521157046236718,2.533333333333333,0.6666666666666666
prior_shift,full_rebuild,3,0.9614814814814814,0.8965961303121937,0.0008452516663560851,1.8333333333333333,
prior_shift,no_update,3,0.46611111111111114,0.2988061114344526,1.250737113878131e-07,1.0,
prior_shift,sgd_online,3,1.0,1.0,0.00018076866668976705,,
prior_shift,sliding_rebuild,3,0.9614814814814814,0.8965961303121937,0.0005894336295400366,1.8333333333333333,
