dataset,lambda,runs,selected_purities,mean_accuracy,mean_delta_vs_fixed,min_delta_vs_fixed,mean_granules,mean_baseline_granules
openml-1462-banknote-authentication,0.0,3,1.0;1.0;1.0,0.9980563654033042,0.023323615160349864,0.014577259475218707,42.666666666666664,19.333333333333332
openml-1462-banknote-authentication,0.02,3,1.0;1.0;1.0,0.9980563654033042,0.023323615160349864,0.014577259475218707,42.666666666666664,19.333333333333332
openml-1462-banknote-authentication,0.1,3,1.0;1.0;1.0,0.9980563654033042,0.023323615160349864,0.014577259475218707,42.666666666666664,19.333333333333332
openml-1489-phoneme,0.0,3,1.0;0.95;1.0,0.8893333333333333,0.05093333333333331,0.01200000000000001,1070.6666666666667,550.3333333333334
openml-1489-phoneme,0.02,3,0.85;0.95;1.0,0.8658666666666667,0.02746666666666664,0.0,856,550.3333333333334
openml-1489-phoneme,0.1,3,0.85;0.95;0.9,0.8637333333333334,0.02533333333333332,0.0,747.3333333333334,550.3333333333334
openml-151-electricity,0.0,3,0.85;0.85;0.9,0.6952,-0.0013333333333333346,-0.0040000000000000036,1819.3333333333333,1766
openml-151-electricity,0.02,3,0.85;0.85;0.9,0.6952,-0.0013333333333333346,-0.0040000000000000036,1819.3333333333333,1766
openml-151-electricity,0.1,3,0.8;0.85;0.8,0.6949333333333334,-0.0015999999999999719,-0.005599999999999938,1501.3333333333333,1766
openml-40-sonar,0.0,3,0.95;0.85;0.9,0.7692307692307693,-0.012820512820512811,-0.038461538461538436,60.333333333333336,56
openml-40-sonar,0.02,3,0.95;0.85;0.9,0.7692307692307693,-0.012820512820512811,-0.038461538461538436,60.333333333333336,56
openml-40-sonar,0.1,3,0.95;0.85;0.9,0.7692307692307693,-0.012820512820512811,-0.038461538461538436,60.333333333333336,56
openml-59-ionosphere,0.0,3,0.9;1.0;0.8,0.6628787878787878,-0.11742424242424243,-0.2727272727272728,51.333333333333336,19
openml-59-ionosphere,0.02,3,0.9;1.0;0.8,0.6628787878787878,-0.11742424242424243,-0.2727272727272728,51.333333333333336,19
openml-59-ionosphere,0.1,3,0.9;1.0;0.8,0.6628787878787878,-0.11742424242424243,-0.2727272727272728,51.333333333333336,19
