dataset,seed,method,score,target_coverage,threshold,test_coverage,test_risk
wine,7,gb_fixed_p090,cal_purity,0.9,0.8666666666666667,1.0,0.02777777777777779
wine,7,gb_fixed_p090,laplace_purity,0.8,0.8235294117647058,1.0,0.02777777777777779
wine,7,gb_fixed_p090,laplace_purity,0.9,0.8235294117647058,1.0,0.02777777777777779
wine,7,gb_fixed_p090,wilson_lower,0.8,0.6561748007704107,1.0,0.02777777777777779
wine,7,gb_fixed_p090,wilson_lower,0.9,0.6561748007704107,1.0,0.02777777777777779
wine,7,gb_adaptive_parameter_free,train_purity,0.8,1.0,1.0,0.04347826086956519
wine,7,gb_adaptive_parameter_free,train_purity,0.9,1.0,1.0,0.04347826086956519
wine,7,gb_adaptive_parameter_free,cal_purity,0.8,0.8,0.8695652173913043,0.050000000000000044
wine,7,gb_adaptive_parameter_free,cal_purity,0.9,0.6666666666666666,1.0,0.04347826086956519
wine,7,gb_adaptive_parameter_free,laplace_purity,0.8,0.6666666666666666,0.8695652173913043,0.050000000000000044
wine,7,gb_adaptive_parameter_free,laplace_purity,0.9,0.6,1.0,0.04347826086956519
wine,7,gb_adaptive_parameter_free,wilson_lower,0.8,0.2486046257301818,0.782608695652174,0.05555555555555558
wine,7,gb_adaptive_parameter_free,wilson_lower,0.9,0.22360679774997896,1.0,0.04347826086956519
wine,21,gb_fixed_p090,train_purity,0.8,0.9459459459459459,1.0,0.08333333333333337
wine,21,gb_fixed_p090,train_purity,0.9,0.9459459459459459,1.0,0.08333333333333337
wine,21,gb_fixed_p090,cal_purity,0.8,0.8571428571428571,1.0,0.08333333333333337
wine,21,gb_fixed_p090,cal_purity,0.9,0.8571428571428571,1.0,0.08333333333333337
wine,21,gb_fixed_p090,laplace_purity,0.8,0.8125,1.0,0.08333333333333337
wine,21,gb_fixed_p090,laplace_purity,0.9,0.8125,1.0,0.08333333333333337
wine,21,gb_fixed_p090,wilson_lower,0.8,0.6365582344585979,1.0,0.08333333333333337
wine,21,gb_fixed_p090,wilson_lower,0.9,0.6365582344585979,1.0,0.08333333333333337
wine,21,gb_adaptive_parameter_free,train_purity,0.8,1.0,1.0,0.033333333333333326
wine,21,gb_adaptive_parameter_free,train_purity,0.9,1.0,1.0,0.033333333333333326
wine,21,gb_adaptive_parameter_free,cal_purity,0.8,1.0,0.9,0.03703703703703709
wine,21,gb_adaptive_parameter_free,cal_purity,0.9,0.6666666666666666,0.9333333333333333,0.0357142857142857
wine,21,gb_adaptive_parameter_free,laplace_purity,0.8,0.6666666666666666,0.9,0.03703703703703709
wine,21,gb_adaptive_parameter_free,laplace_purity,0.9,0.6,0.9333333333333333,0.0357142857142857
wine,21,gb_adaptive_parameter_free,wilson_lower,0.8,0.22360679774997896,0.9333333333333333,0.0357142857142857
wine,21,gb_adaptive_parameter_free,wilson_lower,0.9,0.22360679774997896,0.9333333333333333,0.0357142857142857
breast_cancer,1,gb_fixed_p090,train_purity,0.8,0.9279279279279279,1.0,0.0964912280701754
breast_cancer,1,gb_fixed_p090,train_purity,0.9,0.9279279279279279,1.0,0.0964912280701754
breast_cancer,1,gb_fixed_p090,cal_purity,0.8,0.8333333333333334,1.0,0.0964912280701754
breast_cancer,1,gb_fixed_p090,cal_purity,0.9,0.8333333333333334,1.0,0.0964912280701754
breast_cancer,1,gb_fixed_p090,laplace_purity,0.8,0.8181818181818182,1.0,0.0964912280701754
breast_cancer,1,gb_fixed_p090,laplace_purity,0.9,0.8181818181818182,1.0,0.0964912280701754
breast_cancer,1,gb_fixed_p090,wilson_lower,0.8,0.7158739940010203,1.0,0.0964912280701754
breast_cancer,1,gb_fixed_p090,wilson_lower,0.9,0.7158739940010203,1.0,0.0964912280701754
breast_cancer,1,gb_adaptive_parameter_free,train_purity,0.8,1.0,0.9150943396226415,0.010309278350515427
breast_cancer,1,gb_adaptive_parameter_free,train_purity,0.9,0.8571428571428571,0.9433962264150944,0.030000000000000027
breast_cancer,1,gb_adaptive_parameter_free,cal_purity,0.8,0.9,0.8962264150943396,0.010526315789473717
breast_cancer,1,gb_adaptive_parameter_free,cal_purity,0.9,0.5,0.9716981132075472,0.03883495145631066
