source_dataset_id,task_id,parent_dataset,outer_seed,shadow_release_count,target_release_id,attack_protocol,method,release,attack,threshold,candidate_pool_size,negative_count,number_of_balls,small_ball_ratio,loader_note,roc_auc,pr_auc,tpr_at_1pct_fpr,tpr_at_0_1pct_fpr
uci-51,uci-51_labeled_train_validation,uci-51,1,6,4,real_independent_shadow_target_cross_release,granular_ball,release_1,random_forest,0.9,1200,600,32,0.3125,"official UCI ad.data; all 1,558 documented numeric fields retained; '?' is unknown and handled only by per-scope median imputation",0.5493819444444444,0.5521997469827347,0.023333333333333334,
uci-51,uci-51_labeled_train_validation,uci-51,1,6,4,real_independent_shadow_target_cross_release,matched_kmeans,release_1,logistic,0.9,1200,600,32,0.28125,"official UCI ad.data; all 1,558 documented numeric fields retained; '?' is unknown and handled only by per-scope median imputation",0.5665319444444444,0.5603206544366311,0.01,
uci-51,uci-51_labeled_train_validation,uci-51,1,6,4,real_independent_shadow_target_cross_release,matched_kmeans,release_1,random_forest,0.9,1200,600,32,0.28125,"official UCI ad.data; all 1,558 documented numeric fields retained; '?' is unknown and handled only by per-scope median imputation",0.5693166666666667,0.5729689290376002,0.021666666666666667,
uci-51,uci-51_labeled_train_validation,uci-51,1,6,0,real_independent_shadow_target_cross_release,granular_ball,release_2,logistic,0.9,1200,600,20,0.2,"official UCI ad.data; all 1,558 documented numeric fields retained; '?' is unknown and handled only by per-scope median imputation",0.5400624999999999,0.5418014252927849,0.018333333333333333,
uci-51,uci-51_labeled_train_validation,uci-51,1,6,0,real_independent_shadow_target_cross_release,granular_ball,release_2,random_forest,0.9,1200,600,20,0.2,"official UCI ad.data; all 1,558 documented numeric fields retained; '?' is unknown and handled only by per-scope median imputation",0.5342430555555555,0.539175063477732,0.021666666666666667,
uci-51,uci-51_labeled_train_validation,uci-51,1,6,0,real_independent_shadow_target_cross_release,matched_kmeans,release_2,logistic,0.9,1200,600,20,0.2,"official UCI ad.data; all 1,558 documented numeric fields retained; '?' is unknown and handled only by per-scope median imputation",0.5460763888888889,0.5438129486819561,0.021666666666666667,
uci-51,uci-51_labeled_train_validation,uci-51,1,6,0,real_independent_shadow_target_cross_release,matched_kmeans,release_2,random_forest,0.9,1200,600,20,0.2,"official UCI ad.data; all 1,558 documented numeric fields retained; '?' is unknown and handled only by per-scope median imputation",0.5448319444444444,0.5483727565643299,0.035,
uci-51,uci-51_labeled_train_validation,uci-51,1,6,1,real_independent_shadow_target_cross_release,granular_ball,release_2,logistic,0.9,1200,600,34,0.23529411764705882,"official UCI ad.data; all 1,558 documented numeric fields retained; '?' is unknown and handled only by per-scope median imputation",0.5467444444444445,0.5625726029203008,0.02666666666666667,
uci-51,uci-51_labeled_train_validation,uci-51,1,6,1,real_independent_shadow_target_cross_release,granular_ball,release_2,random_forest,0.9,1200,600,34,0.23529411764705882,"official UCI ad.data; all 1,558 documented numeric fields retained; '?' is unknown and handled only by per-scope median imputation",0.5307972222222221,0.5479779270315615,0.03,
uci-51,uci-51_labeled_train_validation,uci-51,1,6,1,real_independent_shadow_target_cross_release,matched_kmeans,release_2,logistic,0.9,1200,600,34,0.08823529411764706,"official UCI ad.data; all 1,558 documented numeric fields retained; '?' is unknown and handled only by per-scope median imputation",0.538675,0.5617336813585423,0.04,
uci-51,uci-51_labeled_train_validation,uci-51,1,6,1,real_independent_shadow_target_cross_release,matched_kmeans,release_2,random_forest,0.9,1200,600,34,0.08823529411764706,"official UCI ad.data; all 1,558 documented numeric fields retained; '?' is unknown and handled only by per-scope median imputation",0.5811805555555556,0.5808871729974405,0.028333333333333332,
uci-51,uci-51_labeled_train_validation,uci-51,1,6,2,real_independent_shadow_target_cross_release,granular_ball,release_2,logistic,0.9,1200,600,32,0.25,"official UCI ad.data; all 1,558 documented numeric fields retained; '?' is unknown and handled only by per-scope median imputation",0.548575,0.547472686635791,0.008333333333333333,
uci-51,uci-51_labeled_train_validation,uci-51,1,6,2,real_independent_shadow_target_cross_release,granular_ball,release_2,random_forest,0.9,1200,600,32,0.25,"official UCI ad.data; all 1,558 documented numeric fields retained; '?' is unknown and handled only by per-scope median imputation",0.5461319444444445,0.5511976229482829,0.02666666666666667,
uci-51,uci-51_labeled_train_validation,uci-51,1,6,2,real_independent_shadow_target_cross_release,matched_kmeans,release_2,logistic,0.9,1200,600,32,0.15625,"official UCI ad.data; all 1,558 documented numeric fields retained; '?' is unknown and handled only by per-scope median imputation",0.5509861111111112,0.5467994634309832,0.016666666666666666,
uci-51,uci-51_labeled_train_validation,uci-51,1,6,2,real_independent_shadow_target_cross_release,matched_kmeans,release_2,random_forest,0.9,1200,600,32,0.15625,"official UCI ad.data; all 1,558 documented numeric fields retained; '?' is unknown and handled only by per-scope median imputation",0.5522847222222222,0.569604758266498,0.02,
uci-51,uci-51_labeled_train_validation,uci-51,1,6,3,real_independent_shadow_target_cross_release,granular_ball,release_2,logistic,0.9,1200,600,35,0.3142857142857143,"official UCI ad.data; all 1,558 documented numeric fields retained; '?' is unknown and handled only by per-scope median imputation",0.5763041666666666,0.5802772467341523,0.025,
uci-51,uci-51_labeled_train_validation,uci-51,1,6,3,real_independent_shadow_target_cross_release,granular_ball,release_2,random_forest,0.9,1200,600,35,0.3142857142857143,"official UCI ad.data; all 1,558 documented numeric fields retained; '?' is unknown and handled only by per-scope median imputation",0.5388555555555555,0.5492976223963427,0.03166666666666667,
uci-51,uci-51_labeled_train_validation,uci-51,1,6,3,real_independent_shadow_target_cross_release,matched_kmeans,release_2,logistic,0.9,1200,600,35,0.22857142857142856,"official UCI ad.data; all 1,558 documented numeric fields retained; '?' is unknown and handled only by per-scope median imputation",0.5647652777777777,0.5690601849054342,0.015,
