source_dataset_id,task_id,parent_dataset,outer_seed,shadow_release_count,target_release_id,attack_protocol,method,release,attack,threshold,candidate_pool_size,negative_count,number_of_balls,small_ball_ratio,loader_note,roc_auc,pr_auc,tpr_at_1pct_fpr,tpr_at_0_1pct_fpr
uci-171,uci-171_labeled_train_validation,uci-171,1,2,0,real_independent_shadow_target_cross_release,granular_ball,release_1,logistic,0.9,400,200,125,0.904,official UCI labeled train+validation portions; official test labels are unavailable,1.0,1.0,1.0,
uci-171,uci-171_labeled_train_validation,uci-171,1,2,0,real_independent_shadow_target_cross_release,granular_ball,release_1,random_forest,0.9,400,200,125,0.904,official UCI labeled train+validation portions; official test labels are unavailable,1.0,1.0,1.0,
uci-171,uci-171_labeled_train_validation,uci-171,1,2,0,real_independent_shadow_target_cross_release,matched_kmeans,release_1,logistic,0.9,400,200,125,0.856,official UCI labeled train+validation portions; official test labels are unavailable,0.9999,0.9999011083743843,0.995,
uci-171,uci-171_labeled_train_validation,uci-171,1,2,0,real_independent_shadow_target_cross_release,matched_kmeans,release_1,random_forest,0.9,400,200,125,0.856,official UCI labeled train+validation portions; official test labels are unavailable,1.0,1.0,1.0,
