source_dataset_id,task_id,parent_dataset,outer_seed,shadow_release_count,target_release_id,attack_protocol,method,release,attack,threshold,candidate_pool_size,negative_count,reference_group_count,shadow_group_count,target_group_count,number_of_balls,small_ball_ratio,loader_note,roc_auc,pr_auc,tpr_at_1pct_fpr,tpr_at_0_1pct_fpr
uci-253,micromass_pure_species,MicroMass,1,6,1,real_strain_disjoint_reference_shadow_target_and_membership_cross_release,granular_ball,release_2,logistic,0.9,228,125,44,81,88,31,0.9032258064516129,official UCI pure-reference spectra only; species target with bacterial-strain groups; mixture spectra excluded,0.6653980582524271,0.6700187679888518,0.23300970873786409,
uci-253,micromass_pure_species,MicroMass,1,6,1,real_strain_disjoint_reference_shadow_target_and_membership_cross_release,granular_ball,release_2,random_forest,0.9,228,125,44,81,88,31,0.9032258064516129,official UCI pure-reference spectra only; species target with bacterial-strain groups; mixture spectra excluded,0.6838058252427185,0.6940421672089754,0.32038834951456313,
uci-253,micromass_pure_species,MicroMass,1,6,1,real_strain_disjoint_reference_shadow_target_and_membership_cross_release,matched_kmeans,release_2,logistic,0.9,228,125,44,81,88,31,0.967741935483871,official UCI pure-reference spectra only; species target with bacterial-strain groups; mixture spectra excluded,0.678368932038835,0.6865903947875576,0.2524271844660194,
uci-253,micromass_pure_species,MicroMass,1,6,1,real_strain_disjoint_reference_shadow_target_and_membership_cross_release,matched_kmeans,release_2,random_forest,0.9,228,125,44,81,88,31,0.967741935483871,official UCI pure-reference spectra only; species target with bacterial-strain groups; mixture spectra excluded,0.7282718446601942,0.7359259699021728,0.30097087378640774,
uci-253,micromass_pure_species,MicroMass,1,6,1,real_strain_disjoint_reference_shadow_target_and_membership_cross_release,granular_ball,release_3,logistic,0.9,228,125,44,81,88,31,0.9032258064516129,official UCI pure-reference spectra only; species target with bacterial-strain groups; mixture spectra excluded,0.6987184466019418,0.7003489196269046,0.17475728155339806,
uci-253,micromass_pure_species,MicroMass,1,6,1,real_strain_disjoint_reference_shadow_target_and_membership_cross_release,granular_ball,release_3,random_forest,0.9,228,125,44,81,88,31,0.9032258064516129,official UCI pure-reference spectra only; species target with bacterial-strain groups; mixture spectra excluded,0.744,0.7086886948968124,0.3300970873786408,
uci-253,micromass_pure_species,MicroMass,1,6,1,real_strain_disjoint_reference_shadow_target_and_membership_cross_release,matched_kmeans,release_3,logistic,0.9,228,125,44,81,88,31,0.967741935483871,official UCI pure-reference spectra only; species target with bacterial-strain groups; mixture spectra excluded,0.6897864077669903,0.6978562945372185,0.2621359223300971,
uci-253,micromass_pure_species,MicroMass,1,6,1,real_strain_disjoint_reference_shadow_target_and_membership_cross_release,matched_kmeans,release_3,random_forest,0.9,228,125,44,81,88,31,0.967741935483871,official UCI pure-reference spectra only; species target with bacterial-strain groups; mixture spectra excluded,0.6955728155339805,0.7020374337674827,0.3106796116504854,
uci-253,micromass_pure_species,MicroMass,1,6,2,real_strain_disjoint_reference_shadow_target_and_membership_cross_release,granular_ball,release_1,logistic,0.9,228,128,44,81,88,35,0.9714285714285714,official UCI pure-reference spectra only; species target with bacterial-strain groups; mixture spectra excluded,0.7522656249999999,0.7504055457665572,0.31,
uci-253,micromass_pure_species,MicroMass,1,6,2,real_strain_disjoint_reference_shadow_target_and_membership_cross_release,granular_ball,release_1,random_forest,0.9,228,128,44,81,88,35,0.9714285714285714,official UCI pure-reference spectra only; species target with bacterial-strain groups; mixture spectra excluded,0.752421875,0.746834389742002,0.35,
