dataset,seed,threshold,method,ball_size_bin,sample_count,member_count,roc_auc
confirm_d60_redundant0.1_noise0.15,73,0.95,matched_kmeans,11-20,68,23,0.9439613526570049
confirm_d60_redundant0.1_noise0.15,73,0.95,matched_kmeans,6-10,83,27,0.9212962962962963
confirm_d60_redundant0.1_noise0.15,73,0.95,matched_kmeans,>20,295,100,0.7406666666666666
confirm_d60_redundant0.1_noise0.15,73,0.99,granular_ball,1-2,375,173,1.0
confirm_d60_redundant0.1_noise0.15,73,0.99,granular_ball,3-5,140,83,0.9997886281969984
confirm_d60_redundant0.1_noise0.15,73,0.99,granular_ball,6-10,85,44,0.9074279379157428
confirm_d60_redundant0.1_noise0.15,73,0.99,matched_kmeans,1-2,154,150,1.0
confirm_d60_redundant0.1_noise0.15,73,0.99,matched_kmeans,11-20,68,23,0.9439613526570049
confirm_d60_redundant0.1_noise0.15,73,0.99,matched_kmeans,6-10,83,27,0.9212962962962963
confirm_d60_redundant0.1_noise0.15,73,0.99,matched_kmeans,>20,295,100,0.7406666666666666
confirm_d60_redundant0.1_noise0.15,314,0.9,granular_ball,1-2,170,120,0.9873333333333333
confirm_d60_redundant0.1_noise0.15,314,0.9,granular_ball,11-20,41,13,0.8846153846153847
confirm_d60_redundant0.1_noise0.15,314,0.9,granular_ball,3-5,98,41,0.9683354728284125
confirm_d60_redundant0.1_noise0.15,314,0.9,granular_ball,6-10,60,25,0.9325714285714285
confirm_d60_redundant0.1_noise0.15,314,0.9,granular_ball,>20,231,101,0.6744859101294745
confirm_d60_redundant0.1_noise0.15,314,0.9,matched_kmeans,1-2,114,110,1.0
confirm_d60_redundant0.1_noise0.15,314,0.9,matched_kmeans,11-20,81,26,0.7881118881118881
confirm_d60_redundant0.1_noise0.15,314,0.9,matched_kmeans,6-10,15,6,0.9074074074074074
confirm_d60_redundant0.1_noise0.15,314,0.9,matched_kmeans,>20,390,158,0.6552815364469664
confirm_d60_redundant0.1_noise0.15,314,0.95,granular_ball,1-2,194,133,0.9895229877973621
confirm_d60_redundant0.1_noise0.15,314,0.95,granular_ball,3-5,131,62,0.9962599345488545
confirm_d60_redundant0.1_noise0.15,314,0.95,granular_ball,6-10,117,47,0.9036474164133739
confirm_d60_redundant0.1_noise0.15,314,0.95,granular_ball,>20,158,58,0.6882758620689655
confirm_d60_redundant0.1_noise0.15,314,0.95,matched_kmeans,1-2,130,126,1.0
confirm_d60_redundant0.1_noise0.15,314,0.95,matched_kmeans,11-20,121,40,0.8351851851851853
confirm_d60_redundant0.1_noise0.15,314,0.95,matched_kmeans,6-10,16,6,1.0
confirm_d60_redundant0.1_noise0.15,314,0.95,matched_kmeans,>20,333,128,0.6419588414634146
confirm_d60_redundant0.1_noise0.15,314,0.99,granular_ball,1-2,194,133,0.9895229877973621
confirm_d60_redundant0.1_noise0.15,314,0.99,granular_ball,3-5,131,62,0.9962599345488545
confirm_d60_redundant0.1_noise0.15,314,0.99,granular_ball,6-10,117,47,0.9036474164133739
confirm_d60_redundant0.1_noise0.15,314,0.99,granular_ball,>20,158,58,0.6882758620689655
confirm_d60_redundant0.1_noise0.15,314,0.99,matched_kmeans,1-2,130,126,1.0
confirm_d60_redundant0.1_noise0.15,314,0.99,matched_kmeans,11-20,121,40,0.8351851851851853
confirm_d60_redundant0.1_noise0.15,314,0.99,matched_kmeans,6-10,16,6,1.0
confirm_d60_redundant0.1_noise0.15,314,0.99,matched_kmeans,>20,333,128,0.6419588414634146
confirm_d60_redundant0.1_noise0.15,808,0.9,granular_ball,1-2,190,90,0.8988888888888887
confirm_d60_redundant0.1_noise0.15,808,0.9,granular_ball,11-20,99,48,0.8488562091503268
confirm_d60_redundant0.1_noise0.15,808,0.9,granular_ball,3-5,32,18,0.9682539682539683
confirm_d60_redundant0.1_noise0.15,808,0.9,granular_ball,6-10,61,22,0.9475524475524475
confirm_d60_redundant0.1_noise0.15,808,0.9,granular_ball,>20,218,122,0.6528346994535519
confirm_d60_redundant0.1_noise0.15,808,0.9,matched_kmeans,1-2,72,68,1.0
confirm_d60_redundant0.1_noise0.15,808,0.9,matched_kmeans,>20,528,232,0.7052364864864865
confirm_d60_redundant0.1_noise0.15,808,0.95,granular_ball,1-2,297,146,0.9726027397260273
confirm_d60_redundant0.1_noise0.15,808,0.95,granular_ball,11-20,23,10,0.9076923076923077
confirm_d60_redundant0.1_noise0.15,808,0.95,granular_ball,3-5,114,69,0.9764895330112722
confirm_d60_redundant0.1_noise0.15,808,0.95,granular_ball,6-10,120,51,0.9639102017618641
confirm_d60_redundant0.1_noise0.15,808,0.95,granular_ball,>20,46,24,0.7992424242424242
confirm_d60_redundant0.1_noise0.15,808,0.95,matched_kmeans,1-2,128,122,1.0
confirm_d60_redundant0.1_noise0.15,808,0.95,matched_kmeans,11-20,157,49,0.8930461073318215
confirm_d60_redundant0.1_noise0.15,808,0.95,matched_kmeans,>20,315,129,0.7092606484954572
confirm_d60_redundant0.1_noise0.15,808,0.99,granular_ball,1-2,305,148,0.9794284730590463
confirm_d60_redundant0.1_noise0.15,808,0.99,granular_ball,11-20,54,27,0.8669410150891632
confirm_d60_redundant0.1_noise0.15,808,0.99,granular_ball,3-5,121,74,0.9787234042553191
confirm_d60_redundant0.1_noise0.15,808,0.99,granular_ball,6-10,120,51,0.9636260301221939
confirm_d60_redundant0.1_noise0.15,808,0.99,matched_kmeans,1-2,135,127,1.0
confirm_d60_redundant0.1_noise0.15,808,0.99,matched_kmeans,11-20,151,44,0.899320305862362
confirm_d60_redundant0.1_noise0.15,808,0.99,matched_kmeans,>20,314,129,0.7060129897339199
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,1-2,35,34,0.0
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,3-5,4,4,
confirm_d60_redundant0_noise0.05,2,0.9,granular_ball,>20,561,262,0.7221144272256121
confirm_d60_redundant0_noise0.05,2,0.9,matched_kmeans,1-2,33,33,
confirm_d60_redundant0_noise0.05,2,0.9,matched_kmeans,>20,567,267,0.618414481897628
confirm_d60_redundant0_noise0.05,2,0.95,granular_ball,1-2,145,88,0.9473684210526314
confirm_d60_redundant0_noise0.05,2,0.95,granular_ball,11-20,99,32,0.9398320895522387
confirm_d60_redundant0_noise0.05,2,0.95,granular_ball,3-5,150,74,0.9852418207681364
confirm_d60_redundant0_noise0.05,2,0.95,granular_ball,6-10,62,33,0.9247648902821317
confirm_d60_redundant0_noise0.05,2,0.95,granular_ball,>20,144,73,0.7624927648080263
confirm_d60_redundant0_noise0.05,2,0.95,matched_kmeans,1-2,85,85,
confirm_d60_redundant0_noise0.05,2,0.95,matched_kmeans,11-20,212,91,0.8710380528562347
confirm_d60_redundant0_noise0.05,2,0.95,matched_kmeans,6-10,18,9,0.9135802469135803
confirm_d60_redundant0_noise0.05,2,0.95,matched_kmeans,>20,285,115,0.6410230179028132
confirm_d60_redundant0_noise0.05,2,0.99,granular_ball,1-2,146,89,0.9891582889808791
confirm_d60_redundant0_noise0.05,2,0.99,granular_ball,11-20,129,47,0.9333160352880124
confirm_d60_redundant0_noise0.05,2,0.99,granular_ball,3-5,165,82,0.9926535409932413
confirm_d60_redundant0_noise0.05,2,0.99,granular_ball,6-10,100,55,0.9329292929292929
confirm_d60_redundant0_noise0.05,2,0.99,granular_ball,>20,60,27,0.6206509539842873
confirm_d60_redundant0_noise0.05,2,0.99,matched_kmeans,1-2,95,95,
confirm_d60_redundant0_noise0.05,2,0.99,matched_kmeans,11-20,168,73,0.8948810382119683
confirm_d60_redundant0_noise0.05,2,0.99,matched_kmeans,6-10,37,17,0.8294117647058824
confirm_d60_redundant0_noise0.05,2,0.99,matched_kmeans,>20,300,115,0.6885546415981197
confirm_d60_redundant0_noise0.05,13,0.9,granular_ball,1-2,22,22,
confirm_d60_redundant0_noise0.05,13,0.9,granular_ball,3-5,17,11,0.8787878787878788
confirm_d60_redundant0_noise0.05,13,0.9,granular_ball,>20,561,267,0.7362225789192081
confirm_d60_redundant0_noise0.05,13,0.9,matched_kmeans,1-2,25,25,
confirm_d60_redundant0_noise0.05,13,0.9,matched_kmeans,>20,575,275,0.6836484848484848
confirm_d60_redundant0_noise0.05,13,0.95,granular_ball,1-2,150,56,0.7959726443768996
confirm_d60_redundant0_noise0.05,13,0.95,granular_ball,3-5,37,17,0.8764705882352941
confirm_d60_redundant0_noise0.05,13,0.95,granular_ball,6-10,40,9,0.8243727598566308
confirm_d60_redundant0_noise0.05,13,0.95,granular_ball,>20,373,218,0.6804084048535071
confirm_d60_redundant0_noise0.05,13,0.95,matched_kmeans,1-2,34,34,
confirm_d60_redundant0_noise0.05,13,0.95,matched_kmeans,>20,566,266,0.6915037593984963
confirm_d60_redundant0_noise0.05,13,0.99,granular_ball,1-2,161,73,0.9701120797011208
confirm_d60_redundant0_noise0.05,13,0.99,granular_ball,11-20,94,58,0.8256704980842912
confirm_d60_redundant0_noise0.05,13,0.99,granular_ball,3-5,91,51,0.9852941176470588
confirm_d60_redundant0_noise0.05,13,0.99,granular_ball,6-10,128,59,0.9629083763203145
confirm_d60_redundant0_noise0.05,13,0.99,granular_ball,>20,126,59,0.6612699215785479
confirm_d60_redundant0_noise0.05,13,0.99,matched_kmeans,1-2,74,74,
confirm_d60_redundant0_noise0.05,13,0.99,matched_kmeans,>20,526,226,0.7060471976401179
confirm_d60_redundant0_noise0.05,73,0.9,granular_ball,1-2,71,51,0.9627450980392158
confirm_d60_redundant0_noise0.05,73,0.9,granular_ball,11-20,134,50,0.8452380952380952
confirm_d60_redundant0_noise0.05,73,0.9,granular_ball,3-5,42,14,0.9413265306122449
confirm_d60_redundant0_noise0.05,73,0.9,granular_ball,6-10,11,9,1.0
confirm_d60_redundant0_noise0.05,73,0.9,granular_ball,>20,342,176,0.7352478094194961
confirm_d60_redundant0_noise0.05,73,0.9,matched_kmeans,1-2,48,47,0.0
confirm_d60_redundant0_noise0.05,73,0.9,matched_kmeans,>20,552,253,0.651486509709572
confirm_d60_redundant0_noise0.05,73,0.95,granular_ball,1-2,146,75,0.9716431924882629
confirm_d60_redundant0_noise0.05,73,0.95,granular_ball,11-20,199,86,0.8674624408314469
confirm_d60_redundant0_noise0.05,73,0.95,granular_ball,3-5,54,24,0.9555555555555556
confirm_d60_redundant0_noise0.05,73,0.95,granular_ball,6-10,25,16,0.9652777777777778
confirm_d60_redundant0_noise0.05,73,0.95,granular_ball,>20,176,99,0.7451134723861997
confirm_d60_redundant0_noise0.05,73,0.95,matched_kmeans,1-2,71,70,0.0
confirm_d60_redundant0_noise0.05,73,0.95,matched_kmeans,11-20,47,19,0.768796992481203
confirm_d60_redundant0_noise0.05,73,0.95,matched_kmeans,>20,482,211,0.6855249121211592
confirm_d60_redundant0_noise0.05,73,0.99,granular_ball,1-2,172,92,1.0
confirm_d60_redundant0_noise0.05,73,0.99,granular_ball,11-20,174,80,0.8990691489361702
confirm_d60_redundant0_noise0.05,73,0.99,granular_ball,3-5,106,55,0.9928698752228164
confirm_d60_redundant0_noise0.05,73,0.99,granular_ball,6-10,78,43,0.946843853820598
confirm_d60_redundant0_noise0.05,73,0.99,granular_ball,>20,70,30,0.7375
confirm_d60_redundant0_noise0.05,73,0.99,matched_kmeans,1-2,96,94,1.0
confirm_d60_redundant0_noise0.05,73,0.99,matched_kmeans,11-20,103,41,0.9103068450039339
confirm_d60_redundant0_noise0.05,73,0.99,matched_kmeans,6-10,31,10,0.8476190476190476
confirm_d60_redundant0_noise0.05,73,0.99,matched_kmeans,>20,370,155,0.6972843210802702
confirm_d60_redundant0_noise0.05,314,0.9,granular_ball,1-2,54,51,1.0
confirm_d60_redundant0_noise0.05,314,0.9,granular_ball,3-5,21,12,0.9259259259259259
confirm_d60_redundant0_noise0.05,314,0.9,granular_ball,6-10,22,10,0.8083333333333335
confirm_d60_redundant0_noise0.05,314,0.9,granular_ball,>20,503,227,0.6934176083764285
confirm_d60_redundant0_noise0.05,314,0.9,matched_kmeans,1-2,53,53,
confirm_d60_redundant0_noise0.05,314,0.9,matched_kmeans,>20,547,247,0.6386504723346829
confirm_d60_redundant0_noise0.05,314,0.95,granular_ball,1-2,153,80,0.8773972602739725
confirm_d60_redundant0_noise0.05,314,0.95,granular_ball,11-20,37,12,0.8666666666666667
confirm_d60_redundant0_noise0.05,314,0.95,granular_ball,3-5,35,18,0.8594771241830066
confirm_d60_redundant0_noise0.05,314,0.95,granular_ball,6-10,53,20,0.834848484848485
confirm_d60_redundant0_noise0.05,314,0.95,granular_ball,>20,322,170,0.6020897832817338
confirm_d60_redundant0_noise0.05,314,0.95,matched_kmeans,1-2,62,62,
confirm_d60_redundant0_noise0.05,314,0.95,matched_kmeans,>20,538,238,0.6380812324929973
confirm_d60_redundant0_noise0.05,314,0.99,granular_ball,1-2,139,70,0.9797101449275363
confirm_d60_redundant0_noise0.05,314,0.99,granular_ball,11-20,57,26,0.8647642679900744
confirm_d60_redundant0_noise0.05,314,0.99,granular_ball,3-5,38,20,0.9527777777777777
confirm_d60_redundant0_noise0.05,314,0.99,granular_ball,6-10,96,49,0.8940512375162831
confirm_d60_redundant0_noise0.05,314,0.99,granular_ball,>20,270,135,0.7040329218106995
confirm_d60_redundant0_noise0.05,314,0.99,matched_kmeans,1-2,73,73,
confirm_d60_redundant0_noise0.05,314,0.99,matched_kmeans,>20,527,227,0.6651688693098385
confirm_d60_redundant0_noise0.05,808,0.9,granular_ball,1-2,149,64,0.9488970588235295
confirm_d60_redundant0_noise0.05,808,0.9,granular_ball,3-5,124,48,0.8379934210526315
confirm_d60_redundant0_noise0.05,808,0.9,granular_ball,6-10,43,25,0.9622222222222223
confirm_d60_redundant0_noise0.05,808,0.9,granular_ball,>20,284,163,0.6666835674086092
confirm_d60_redundant0_noise0.05,808,0.9,matched_kmeans,1-2,52,52,
confirm_d60_redundant0_noise0.05,808,0.9,matched_kmeans,11-20,44,19,0.8568421052631578
confirm_d60_redundant0_noise0.05,808,0.9,matched_kmeans,>20,504,229,0.6770940849543471
confirm_d60_redundant0_noise0.05,808,0.95,granular_ball,1-2,176,79,0.9294010178781157
confirm_d60_redundant0_noise0.05,808,0.95,granular_ball,11-20,44,15,0.6896551724137931
confirm_d60_redundant0_noise0.05,808,0.95,granular_ball,3-5,105,46,0.925939572586588
confirm_d60_redundant0_noise0.05,808,0.95,granular_ball,6-10,35,21,0.9523809523809523
confirm_d60_redundant0_noise0.05,808,0.95,granular_ball,>20,240,139,0.684236769000641
confirm_d60_redundant0_noise0.05,808,0.95,matched_kmeans,1-2,62,62,
confirm_d60_redundant0_noise0.05,808,0.95,matched_kmeans,11-20,101,40,0.8049180327868852
confirm_d60_redundant0_noise0.05,808,0.95,matched_kmeans,>20,437,198,0.6278897764253413
confirm_d60_redundant0_noise0.05,808,0.99,granular_ball,1-2,188,91,0.967032967032967
confirm_d60_redundant0_noise0.05,808,0.99,granular_ball,11-20,89,42,0.8378926038500507
confirm_d60_redundant0_noise0.05,808,0.99,granular_ball,3-5,129,61,0.9375602700096431
confirm_d60_redundant0_noise0.05,808,0.99,granular_ball,6-10,52,31,0.9400921658986175
confirm_d60_redundant0_noise0.05,808,0.99,granular_ball,>20,142,75,0.6380099502487562
confirm_d60_redundant0_noise0.05,808,0.99,matched_kmeans,1-2,78,78,
confirm_d60_redundant0_noise0.05,808,0.99,matched_kmeans,11-20,176,72,0.8417467948717948
confirm_d60_redundant0_noise0.05,808,0.99,matched_kmeans,>20,346,150,0.6530272108843537
