dataset,seed,threshold,method,ball_size_bin,sample_count,member_count,roc_auc
confirm_d100_redundant0.1_noise0.15,73,0.9,granular_ball,>20,133,58,0.7554022988505747
confirm_d100_redundant0.1_noise0.15,73,0.9,matched_kmeans,1-2,94,94,
confirm_d100_redundant0.1_noise0.15,73,0.9,matched_kmeans,>20,506,206,0.6474271844660194
confirm_d100_redundant0.1_noise0.15,73,0.95,granular_ball,1-2,205,146,0.9953563965637334
confirm_d100_redundant0.1_noise0.15,73,0.95,granular_ball,11-20,75,31,0.8049853372434018
confirm_d100_redundant0.1_noise0.15,73,0.95,granular_ball,3-5,192,66,0.9826839826839827
confirm_d100_redundant0.1_noise0.15,73,0.95,granular_ball,6-10,128,57,0.971830985915493
confirm_d100_redundant0.1_noise0.15,73,0.95,matched_kmeans,1-2,127,127,
confirm_d100_redundant0.1_noise0.15,73,0.95,matched_kmeans,11-20,106,47,0.8081500180310134
confirm_d100_redundant0.1_noise0.15,73,0.95,matched_kmeans,>20,367,126,0.7229137851544492
confirm_d100_redundant0.1_noise0.15,73,0.99,granular_ball,1-2,205,146,0.9953563965637334
confirm_d100_redundant0.1_noise0.15,73,0.99,granular_ball,11-20,75,31,0.8049853372434018
confirm_d100_redundant0.1_noise0.15,73,0.99,granular_ball,3-5,192,66,0.9826839826839827
confirm_d100_redundant0.1_noise0.15,73,0.99,granular_ball,6-10,128,57,0.971830985915493
confirm_d100_redundant0.1_noise0.15,73,0.99,matched_kmeans,1-2,127,127,
confirm_d100_redundant0.1_noise0.15,73,0.99,matched_kmeans,11-20,106,47,0.8081500180310134
confirm_d100_redundant0.1_noise0.15,73,0.99,matched_kmeans,>20,367,126,0.7229137851544492
confirm_d100_redundant0.1_noise0.15,314,0.9,granular_ball,1-2,138,89,0.9779867002980968
confirm_d100_redundant0.1_noise0.15,314,0.9,granular_ball,11-20,142,81,0.932199959522364
confirm_d100_redundant0.1_noise0.15,314,0.9,granular_ball,3-5,59,27,0.9733796296296295
confirm_d100_redundant0.1_noise0.15,314,0.9,granular_ball,6-10,147,48,0.9393939393939394
confirm_d100_redundant0.1_noise0.15,314,0.9,granular_ball,>20,114,55,0.772573189522342
confirm_d100_redundant0.1_noise0.15,314,0.9,matched_kmeans,1-2,84,84,
confirm_d100_redundant0.1_noise0.15,314,0.9,matched_kmeans,11-20,77,36,0.674119241192412
confirm_d100_redundant0.1_noise0.15,314,0.9,matched_kmeans,>20,439,180,0.7317889317889319
confirm_d100_redundant0.1_noise0.15,314,0.95,granular_ball,1-2,192,117,1.0
confirm_d100_redundant0.1_noise0.15,314,0.95,granular_ball,3-5,121,72,0.9920634920634921
confirm_d100_redundant0.1_noise0.15,314,0.95,granular_ball,6-10,211,79,0.9636555427694667
confirm_d100_redundant0.1_noise0.15,314,0.95,granular_ball,>20,76,32,0.6399147727272727
confirm_d100_redundant0.1_noise0.15,314,0.95,matched_kmeans,1-2,113,113,
confirm_d100_redundant0.1_noise0.15,314,0.95,matched_kmeans,11-20,148,62,0.8454613653413353
confirm_d100_redundant0.1_noise0.15,314,0.95,matched_kmeans,>20,339,125,0.7259065420560747
confirm_d100_redundant0.1_noise0.15,314,0.99,granular_ball,1-2,192,117,1.0
confirm_d100_redundant0.1_noise0.15,314,0.99,granular_ball,3-5,121,72,0.9920634920634921
confirm_d100_redundant0.1_noise0.15,314,0.99,granular_ball,6-10,211,79,0.9636555427694667
confirm_d100_redundant0.1_noise0.15,314,0.99,granular_ball,>20,76,32,0.6399147727272727
confirm_d100_redundant0.1_noise0.15,314,0.99,matched_kmeans,1-2,113,113,
confirm_d100_redundant0.1_noise0.15,314,0.99,matched_kmeans,11-20,148,62,0.8454613653413353
confirm_d100_redundant0.1_noise0.15,314,0.99,matched_kmeans,>20,339,125,0.7259065420560747
confirm_d100_redundant0.1_noise0.15,808,0.9,granular_ball,1-2,103,66,1.0
confirm_d100_redundant0.1_noise0.15,808,0.9,granular_ball,11-20,106,47,0.8131987017670392
confirm_d100_redundant0.1_noise0.15,808,0.9,granular_ball,3-5,23,9,0.9285714285714285
confirm_d100_redundant0.1_noise0.15,808,0.9,granular_ball,6-10,29,9,0.8555555555555555
confirm_d100_redundant0.1_noise0.15,808,0.9,granular_ball,>20,339,169,0.7323355377654021
confirm_d100_redundant0.1_noise0.15,808,0.9,matched_kmeans,1-2,61,61,
confirm_d100_redundant0.1_noise0.15,808,0.9,matched_kmeans,11-20,49,20,0.8931034482758621
confirm_d100_redundant0.1_noise0.15,808,0.9,matched_kmeans,>20,490,219,0.6652007615966571
confirm_d100_redundant0.1_noise0.15,808,0.95,granular_ball,1-2,237,128,0.991829128440367
confirm_d100_redundant0.1_noise0.15,808,0.95,granular_ball,11-20,108,52,0.8767170329670331
confirm_d100_redundant0.1_noise0.15,808,0.95,granular_ball,3-5,104,46,0.9831334332833583
