source_dataset_id,task_id,parent_dataset,probe_scope,loader_note,threshold,number_of_balls,mean_ball_size,median_ball_size,min_ball_size,singleton_count,fraction_size_le_2,fraction_size_le_5,radius_mean,radius_median,radius_dispersion,purity_mean,purity_median,purity_q25,purity_q75,fragmentation_ratio_95_70,fragmentation_ratio_99_70
uci-171,uci-171_labeled_train_validation,uci-171,pre_MIA_training_structure_only,official UCI labeled train+validation portions; official test labels are unavailable,0.7,720,3.611111111111111,2.0,1,265,0.7402777777777778,0.8861111111111111,10.680062229815823,14.87391592732593,0.7835214669953512,0.8364120660929909,1.0,0.7142857142857143,1.0,2.1555555555555554,2.1555555555555554
uci-171,uci-171_labeled_train_validation,uci-171,pre_MIA_training_structure_only,official UCI labeled train+validation portions; official test labels are unavailable,0.85,1439,1.8068102849200833,2.0,1,690,0.901320361362057,0.9715079916608756,8.158290611383707,14.33745642215069,0.9698274831220198,0.8716727359969194,1.0,0.5,1.0,2.1555555555555554,2.1555555555555554
uci-171,uci-171_labeled_train_validation,uci-171,pre_MIA_training_structure_only,official UCI labeled train+validation portions; official test labels are unavailable,0.9,1515,1.716171617161716,2.0,1,743,0.9082508250825082,0.9848184818481848,7.941631878122013,14.168284052609405,0.9892198266880612,0.8760103510351035,1.0,0.9,1.0,2.1555555555555554,2.1555555555555554
uci-171,uci-171_labeled_train_validation,uci-171,pre_MIA_training_structure_only,official UCI labeled train+validation portions; official test labels are unavailable,0.95,1552,1.675257731958763,2.0,1,766,0.907860824742268,0.9884020618556701,7.885731267292703,14.055875744152019,0.9949081621226932,0.8775773195876289,1.0,1.0,1.0,2.1555555555555554,2.1555555555555554
uci-171,uci-171_labeled_train_validation,uci-171,pre_MIA_training_structure_only,official UCI labeled train+validation portions; official test labels are unavailable,0.99,1552,1.675257731958763,2.0,1,766,0.907860824742268,0.9884020618556701,7.885731267292703,14.055875744152019,0.9949081621226932,0.8775773195876289,1.0,1.0,1.0,2.1555555555555554,2.1555555555555554
uci-167,uci-167_labeled_train_validation,uci-167,pre_MIA_training_structure_only,official UCI labeled train+validation portions; official test labels are unavailable,0.7,21,9.523809523809524,2.0,1,10,0.6190476190476191,0.7142857142857143,32.27601053208706,41.103496094793975,1.0081362017331694,0.905479488838071,1.0,0.7560975609756098,1.0,3.761904761904762,4.142857142857143
uci-167,uci-167_labeled_train_validation,uci-167,pre_MIA_training_structure_only,official UCI labeled train+validation portions; official test labels are unavailable,0.85,68,2.9411764705882355,2.0,1,29,0.8235294117647058,0.8823529411764706,29.982944558634426,41.59072847010471,0.9233974804886528,0.9189554154995331,1.0,1.0,1.0,3.761904761904762,4.142857142857143
uci-167,uci-167_labeled_train_validation,uci-167,pre_MIA_training_structure_only,official UCI labeled train+validation portions; official test labels are unavailable,0.9,70,2.857142857142857,2.0,1,29,0.8285714285714286,0.9,30.479360067087725,41.86163101324344,0.8975314963013882,0.9108117913832199,1.0,1.0,1.0,3.761904761904762,4.142857142857143
uci-167,uci-167_labeled_train_validation,uci-167,pre_MIA_training_structure_only,official UCI labeled train+validation portions; official test labels are unavailable,0.95,79,2.5316455696202533,2.0,1,34,0.8227848101265823,0.9240506329113924,29.111684881308893,41.40531300516004,0.9243465691865494,0.922941531042797,1.0,1.0,1.0,3.761904761904762,4.142857142857143
uci-167,uci-167_labeled_train_validation,uci-167,pre_MIA_training_structure_only,official UCI labeled train+validation portions; official test labels are unavailable,0.99,87,2.2988505747126435,2.0,1,36,0.7816091954022989,0.9080459770114943,30.981742683395748,41.776143935049376,0.8984924911019457,0.9252873563218391,1.0,1.0,1.0,3.761904761904762,4.142857142857143
uci-372,uci-372_labeled_train_validation,uci-372,pre_MIA_training_structure_only,official UCI static HTRU_2.csv,0.7,1,17898.0,17898.0,17898,0,0.0,0.0,2.20143718970022,2.20143718970022,0.0,0.908425522404738,0.908425522404738,0.908425522404738,0.908425522404738,201.0,977.0
uci-372,uci-372_labeled_train_validation,uci-372,pre_MIA_training_structure_only,official UCI static HTRU_2.csv,0.85,1,17898.0,17898.0,17898,0,0.0,0.0,2.20143718970022,2.20143718970022,0.0,0.908425522404738,0.908425522404738,0.908425522404738,0.908425522404738,201.0,977.0
uci-372,uci-372_labeled_train_validation,uci-372,pre_MIA_training_structure_only,official UCI static HTRU_2.csv,0.9,1,17898.0,17898.0,17898,0,0.0,0.0,2.20143718970022,2.20143718970022,0.0,0.908425522404738,0.908425522404738,0.908425522404738,0.908425522404738,201.0,977.0
uci-372,uci-372_labeled_train_validation,uci-372,pre_MIA_training_structure_only,official UCI static HTRU_2.csv,0.95,201,89.04477611940298,2.0,1,74,0.8059701492537313,0.9154228855721394,0.27622424519736216,0.22827928036125816,1.306323528960754,0.8774094286226377,1.0,0.9611650485436893,1.0,201.0,977.0
uci-372,uci-372_labeled_train_validation,uci-372,pre_MIA_training_structure_only,official UCI static HTRU_2.csv,0.99,977,18.319344933469807,2.0,1,265,0.5731832139201638,0.7379733879222109,0.2042822222346105,0.16784961467474419,1.1367649654559597,0.9195506757030705,1.0,1.0,1.0,201.0,977.0
uci-602,uci-602_labeled_train_validation,uci-602,pre_MIA_training_structure_only,official UCI static Dry_Bean_Dataset.arff,0.7,8,1701.375,1759.5,524,0,0.0,0.0,1.8256175348957155,1.7123753515675488,0.21222315425094346,0.8631889993861432,0.863374975535857,0.7829724344942393,0.9647457169118776,213.125,303.0
uci-602,uci-602_labeled_train_validation,uci-602,pre_MIA_training_structure_only,official UCI static Dry_Bean_Dataset.arff,0.85,826,16.47820823244552,2.0,1,334,0.8268765133171913,0.9079903147699758,0.20009052752932713,0.14204545501128968,1.5664576145738387,0.8812254716394028,1.0,0.875,1.0,213.125,303.0
uci-602,uci-602_labeled_train_validation,uci-602,pre_MIA_training_structure_only,official UCI static Dry_Bean_Dataset.arff,0.9,1188,11.457070707070708,2.0,1,459,0.8063973063973064,0.9132996632996633,0.2281356982320944,0.16053903628821553,1.4121033978678244,0.8879211962879044,1.0,0.9411764705882353,1.0,213.125,303.0
