dataset,source,seed,method,release,attack,n_total,pool_samples,reference_samples,feature_count,shadow_runs,selected_count_mean,selection_stability_jaccard,roc_auc,pr_auc,tpr_at_1pct_fpr,tpr_at_0_1pct_fpr
breast_cancer,sklearn.load_breast_cancer,7,FRFS,mask,random_forest,569,456,113,30,12,2.25,0.4621212121212121,0.5042556497084574,0.506467718472139,0.010599415204678362,nan
breast_cancer,sklearn.load_breast_cancer,7,FRFS,mask_count,logistic,569,456,113,30,12,2.25,0.4621212121212121,0.5016889545073697,0.4992167542763538,0.009868421052631578,nan
breast_cancer,sklearn.load_breast_cancer,7,FRFS,mask_count,random_forest,569,456,113,30,12,2.25,0.4621212121212121,0.504341947629185,0.508519968931445,0.011330409356725146,nan
breast_cancer,sklearn.load_breast_cancer,7,MutualInformation,mask,logistic,569,456,113,30,12,2.25,0.3641414141414141,0.49112874741373413,0.4955415669133918,0.011330409356725146,nan
breast_cancer,sklearn.load_breast_cancer,7,MutualInformation,mask,random_forest,569,456,113,30,12,2.25,0.3641414141414141,0.5040781111068363,0.49903769607978793,0.008771929824561403,nan
breast_cancer,sklearn.load_breast_cancer,7,MutualInformation,mask_count,logistic,569,456,113,30,12,2.25,0.3641414141414141,0.49109401450446294,0.49553689523807143,0.01206140350877193,nan
breast_cancer,sklearn.load_breast_cancer,7,MutualInformation,mask_count,random_forest,569,456,113,30,12,2.25,0.3641414141414141,0.5030001218323586,0.49856222234538566,0.009137426900584795,nan
breast_cancer,sklearn.load_breast_cancer,7,MutualInformation,ranking,logistic,569,456,113,30,12,2.25,0.3641414141414141,0.4842877669624842,0.4839531484636769,0.003289473684210526,nan
breast_cancer,sklearn.load_breast_cancer,7,MutualInformation,ranking,random_forest,569,456,113,30,12,2.25,0.3641414141414141,0.5018629530240074,0.5041862364110818,0.015350877192982455,nan
breast_cancer,sklearn.load_breast_cancer,7,ReliefF,mask,logistic,569,456,113,30,12,2.25,0.6199494949494949,0.49859465305564105,0.4975554474890218,0.006578947368421052,nan
