dataset,source,seed,threshold,release,method,attack,n,d,classes,number_of_balls,mean_ball_size,median_ball_size,min_ball_size,max_ball_size,singleton_count,fraction_size_le_2,fraction_size_le_5,mean_radius,median_radius,purity_mean,purity_median,purity_q25,purity_q75,separation,density_ratio,minority_fraction,modes,dimension,redundant_fraction,label_noise,roc_auc,pr_auc,tpr_at_1pct_fpr,tpr_at_0_1pct_fpr
confirm_d60_redundant0_noise0.05,controlled_gaussian_mixture_confirmation,2,0.8,release_1,granular_ball,random_forest,600,60,2,27,11.11111111111111,1.0,1,95,18,0.7407407407407407,0.7777777777777778,1.945518564180681,0.0,0.971076661961417,1.0,1.0,1.0,2.0,5.0,0.3,3,60,0.0,0.05,0.6903444444444445,0.7235221215721549,0.13666666666666666,nan
confirm_d60_redundant0_noise0.05,controlled_gaussian_mixture_confirmation,2,0.8,release_1,matched_kmeans,logistic,600,60,2,27,11.11111111111111,1.0,1,102,22,0.8148148148148148,0.8148148148148148,1.355771724700932,0.0,0.9573889334811247,1.0,1.0,1.0,2.0,5.0,0.3,3,60,0.0,0.05,0.7003111111111111,0.6983088180899659,0.11,nan
confirm_d60_redundant0_noise0.05,controlled_gaussian_mixture_confirmation,2,0.8,release_1,matched_kmeans,random_forest,600,60,2,27,11.11111111111111,1.0,1,102,22,0.8148148148148148,0.8148148148148148,1.355771724700932,0.0,0.9573889334811247,1.0,1.0,1.0,2.0,5.0,0.3,3,60,0.0,0.05,0.7276888888888888,0.7519645779980925,0.19,nan
confirm_d60_redundant0_noise0.05,controlled_gaussian_mixture_confirmation,2,0.8,release_2,granular_ball,logistic,600,60,2,27,11.11111111111111,1.0,1,95,18,0.7407407407407407,0.7777777777777778,1.945518564180681,0.0,0.971076661961417,1.0,1.0,1.0,2.0,5.0,0.3,3,60,0.0,0.05,0.7380555555555556,0.7557155968294241,0.18333333333333332,nan
confirm_d60_redundant0_noise0.05,controlled_gaussian_mixture_confirmation,2,0.8,release_2,granular_ball,random_forest,600,60,2,27,11.11111111111111,1.0,1,95,18,0.7407407407407407,0.7777777777777778,1.945518564180681,0.0,0.971076661961417,1.0,1.0,1.0,2.0,5.0,0.3,3,60,0.0,0.05,0.6919666666666666,0.710277259535901,0.09333333333333334,nan
confirm_d60_redundant0_noise0.05,controlled_gaussian_mixture_confirmation,2,0.8,release_2,matched_kmeans,logistic,600,60,2,27,11.11111111111111,1.0,1,102,22,0.8148148148148148,0.8148148148148148,1.355771724700932,0.0,0.9573889334811247,1.0,1.0,1.0,2.0,5.0,0.3,3,60,0.0,0.05,0.6820222222222223,0.7075543325250009,0.13666666666666666,nan
confirm_d60_redundant0_noise0.05,controlled_gaussian_mixture_confirmation,2,0.8,release_2,matched_kmeans,random_forest,600,60,2,27,11.11111111111111,1.0,1,102,22,0.8148148148148148,0.8148148148148148,1.355771724700932,0.0,0.9573889334811247,1.0,1.0,1.0,2.0,5.0,0.3,3,60,0.0,0.05,0.7228833333333334,0.7493572082715161,0.21,nan
confirm_d60_redundant0_noise0.05,controlled_gaussian_mixture_confirmation,2,0.8,release_3,granular_ball,logistic,600,60,2,27,11.11111111111111,1.0,1,95,18,0.7407407407407407,0.7777777777777778,1.945518564180681,0.0,0.971076661961417,1.0,1.0,1.0,2.0,5.0,0.3,3,60,0.0,0.05,0.7358777777777779,0.7504557206448621,0.16,nan
confirm_d60_redundant0_noise0.05,controlled_gaussian_mixture_confirmation,2,0.8,release_3,granular_ball,random_forest,600,60,2,27,11.11111111111111,1.0,1,95,18,0.7407407407407407,0.7777777777777778,1.945518564180681,0.0,0.971076661961417,1.0,1.0,1.0,2.0,5.0,0.3,3,60,0.0,0.05,0.6929,0.7116054560217373,0.11,nan
confirm_d60_redundant0_noise0.05,controlled_gaussian_mixture_confirmation,2,0.8,release_3,matched_kmeans,logistic,600,60,2,27,11.11111111111111,1.0,1,102,22,0.8148148148148148,0.8148148148148148,1.355771724700932,0.0,0.9573889334811247,1.0,1.0,1.0,2.0,5.0,0.3,3,60,0.0,0.05,0.6742111111111111,0.7036846465206866,0.13666666666666666,nan
