dataset,source,seed,threshold,release,method,attack,n,d,classes,number_of_balls,mean_ball_size,median_ball_size,min_ball_size,max_ball_size,singleton_count,fraction_size_le_2,fraction_size_le_5,mean_radius,median_radius,purity_mean,purity_median,purity_q25,purity_q75,base_dataset,training_label_noise,intervention,roc_auc,pr_auc,tpr_at_1pct_fpr,tpr_at_0_1pct_fpr
semi_sonar_trainnoise0.05,UCI id=151 via ucimlrepo,2,0.8,release_1,matched_kmeans,logistic,208,60,2,31,3.3548387096774195,2.0,1,13,15,0.5806451612903226,0.8064516129032258,2.0850986665283964,2.4976399219208227,0.9064240419079129,1.0,0.8611111111111112,1.0,sonar,0.05,member_training_labels_only,0.8555843195266272,0.8707182742280453,0.34615384615384615,nan
semi_sonar_trainnoise0.05,UCI id=151 via ucimlrepo,2,0.8,release_1,matched_kmeans,random_forest,208,60,2,31,3.3548387096774195,2.0,1,13,15,0.5806451612903226,0.8064516129032258,2.0850986665283964,2.4976399219208227,0.9064240419079129,1.0,0.8611111111111112,1.0,sonar,0.05,member_training_labels_only,0.8198039940828402,0.8371002093401938,0.25961538461538464,nan
semi_sonar_trainnoise0.05,UCI id=151 via ucimlrepo,2,0.8,release_2,granular_ball,logistic,208,60,2,31,3.3548387096774195,2.0,1,15,8,0.5483870967741935,0.8709677419354839,3.085565644204906,3.3686341141888603,0.9262672811059908,1.0,0.8571428571428571,1.0,sonar,0.05,member_training_labels_only,0.8832285502958581,0.8972447742030876,0.5,nan
semi_sonar_trainnoise0.05,UCI id=151 via ucimlrepo,2,0.8,release_2,granular_ball,random_forest,208,60,2,31,3.3548387096774195,2.0,1,15,8,0.5483870967741935,0.8709677419354839,3.085565644204906,3.3686341141888603,0.9262672811059908,1.0,0.8571428571428571,1.0,sonar,0.05,member_training_labels_only,0.8776812130177515,0.8981536893590292,0.5096153846153846,nan
semi_sonar_trainnoise0.05,UCI id=151 via ucimlrepo,2,0.8,release_2,matched_kmeans,logistic,208,60,2,31,3.3548387096774195,2.0,1,13,15,0.5806451612903226,0.8064516129032258,2.0850986665283964,2.4976399219208227,0.9064240419079129,1.0,0.8611111111111112,1.0,sonar,0.05,member_training_labels_only,0.8602995562130179,0.8716133414118648,0.3942307692307692,nan
semi_sonar_trainnoise0.05,UCI id=151 via ucimlrepo,2,0.8,release_2,matched_kmeans,random_forest,208,60,2,31,3.3548387096774195,2.0,1,13,15,0.5806451612903226,0.8064516129032258,2.0850986665283964,2.4976399219208227,0.9064240419079129,1.0,0.8611111111111112,1.0,sonar,0.05,member_training_labels_only,0.8360761834319528,0.8385083981516268,0.19230769230769232,nan
semi_sonar_trainnoise0.05,UCI id=151 via ucimlrepo,2,0.8,release_3,granular_ball,logistic,208,60,2,31,3.3548387096774195,2.0,1,15,8,0.5483870967741935,0.8709677419354839,3.085565644204906,3.3686341141888603,0.9262672811059908,1.0,0.8571428571428571,1.0,sonar,0.05,member_training_labels_only,0.8788831360946745,0.8931008034345782,0.47115384615384615,nan
semi_sonar_trainnoise0.05,UCI id=151 via ucimlrepo,2,0.8,release_3,granular_ball,random_forest,208,60,2,31,3.3548387096774195,2.0,1,15,8,0.5483870967741935,0.8709677419354839,3.085565644204906,3.3686341141888603,0.9262672811059908,1.0,0.8571428571428571,1.0,sonar,0.05,member_training_labels_only,0.8824889053254438,0.9023710274419912,0.5,nan
semi_sonar_trainnoise0.05,UCI id=151 via ucimlrepo,2,0.8,release_3,matched_kmeans,logistic,208,60,2,31,3.3548387096774195,2.0,1,13,15,0.5806451612903226,0.8064516129032258,2.0850986665283964,2.4976399219208227,0.9064240419079129,1.0,0.8611111111111112,1.0,sonar,0.05,member_training_labels_only,0.854012573964497,0.8667850470596399,0.36538461538461536,nan
semi_sonar_trainnoise0.05,UCI id=151 via ucimlrepo,2,0.8,release_3,matched_kmeans,random_forest,208,60,2,31,3.3548387096774195,2.0,1,13,15,0.5806451612903226,0.8064516129032258,2.0850986665283964,2.4976399219208227,0.9064240419079129,1.0,0.8611111111111112,1.0,sonar,0.05,member_training_labels_only,0.8237795857988166,0.8264035256910405,0.23076923076923078,nan
semi_sonar_trainnoise0.05,UCI id=151 via ucimlrepo,2,0.9,release_1,granular_ball,logistic,208,60,2,51,2.0392156862745097,2.0,1,10,23,0.7450980392156863,0.9803921568627451,1.9957953123608407,1.8259951355594166,0.9392156862745098,1.0,1.0,1.0,sonar,0.05,member_training_labels_only,0.9380547337278107,0.9385292695752305,0.47115384615384615,nan
semi_sonar_trainnoise0.05,UCI id=151 via ucimlrepo,2,0.9,release_1,granular_ball,random_forest,208,60,2,51,2.0392156862745097,2.0,1,10,23,0.7450980392156863,0.9803921568627451,1.9957953123608407,1.8259951355594166,0.9392156862745098,1.0,1.0,1.0,sonar,0.05,member_training_labels_only,0.9171597633136095,0.9183291431714554,0.40384615384615385,nan
semi_sonar_trainnoise0.05,UCI id=151 via ucimlrepo,2,0.9,release_1,matched_kmeans,logistic,208,60,2,51,2.0392156862745097,1.0,1,12,35,0.7647058823529411,0.9215686274509803,1.0288256700857388,0.0,0.9589635854341736,1.0,1.0,1.0,sonar,0.05,member_training_labels_only,0.9293639053254439,0.9325997237527697,0.5384615384615384,nan
semi_sonar_trainnoise0.05,UCI id=151 via ucimlrepo,2,0.9,release_1,matched_kmeans,random_forest,208,60,2,51,2.0392156862745097,1.0,1,12,35,0.7647058823529411,0.9215686274509803,1.0288256700857388,0.0,0.9589635854341736,1.0,1.0,1.0,sonar,0.05,member_training_labels_only,0.9112426035502958,0.9082618668869871,0.4807692307692308,nan
semi_sonar_trainnoise0.05,UCI id=151 via ucimlrepo,2,0.9,release_2,granular_ball,logistic,208,60,2,51,2.0392156862745097,2.0,1,10,23,0.7450980392156863,0.9803921568627451,1.9957953123608407,1.8259951355594166,0.9392156862745098,1.0,1.0,1.0,sonar,0.05,member_training_labels_only,0.9535872781065089,0.954516096701956,0.5096153846153846,nan
semi_sonar_trainnoise0.05,UCI id=151 via ucimlrepo,2,0.9,release_2,granular_ball,random_forest,208,60,2,51,2.0392156862745097,2.0,1,10,23,0.7450980392156863,0.9803921568627451,1.9957953123608407,1.8259951355594166,0.9392156862745098,1.0,1.0,1.0,sonar,0.05,member_training_labels_only,0.9592270710059172,0.9588401520738452,0.5192307692307693,nan
semi_sonar_trainnoise0.05,UCI id=151 via ucimlrepo,2,0.9,release_2,matched_kmeans,logistic,208,60,2,51,2.0392156862745097,1.0,1,12,35,0.7647058823529411,0.9215686274509803,1.0288256700857388,0.0,0.9589635854341736,1.0,1.0,1.0,sonar,0.05,member_training_labels_only,0.9253883136094675,0.9287138434057645,0.5480769230769231,nan
semi_sonar_trainnoise0.05,UCI id=151 via ucimlrepo,2,0.9,release_2,matched_kmeans,random_forest,208,60,2,51,2.0392156862745097,1.0,1,12,35,0.7647058823529411,0.9215686274509803,1.0288256700857388,0.0,0.9589635854341736,1.0,1.0,1.0,sonar,0.05,member_training_labels_only,0.9211353550295859,0.9228821412632446,0.5192307692307693,nan
semi_sonar_trainnoise0.05,UCI id=151 via ucimlrepo,2,0.9,release_3,granular_ball,logistic,208,60,2,51,2.0392156862745097,2.0,1,10,23,0.7450980392156863,0.9803921568627451,1.9957953123608407,1.8259951355594166,0.9392156862745098,1.0,1.0,1.0,sonar,0.05,member_training_labels_only,0.9515532544378698,0.9529894405286513,0.5,nan
semi_sonar_trainnoise0.05,UCI id=151 via ucimlrepo,2,0.9,release_3,granular_ball,random_forest,208,60,2,51,2.0392156862745097,2.0,1,10,23,0.7450980392156863,0.9803921568627451,1.9957953123608407,1.8259951355594166,0.9392156862745098,1.0,1.0,1.0,sonar,0.05,member_training_labels_only,0.961353550295858,0.9631690099847434,0.5961538461538461,nan
semi_sonar_trainnoise0.05,UCI id=151 via ucimlrepo,2,0.9,release_3,matched_kmeans,logistic,208,60,2,51,2.0392156862745097,1.0,1,12,35,0.7647058823529411,0.9215686274509803,1.0288256700857388,0.0,0.9589635854341736,1.0,1.0,1.0,sonar,0.05,member_training_labels_only,0.9195636094674555,0.9228753166500094,0.5192307692307693,nan
semi_sonar_trainnoise0.05,UCI id=151 via ucimlrepo,2,0.9,release_3,matched_kmeans,random_forest,208,60,2,51,2.0392156862745097,1.0,1,12,35,0.7647058823529411,0.9215686274509803,1.0288256700857388,0.0,0.9589635854341736,1.0,1.0,1.0,sonar,0.05,member_training_labels_only,0.9123520710059171,0.9118442089234038,0.4326923076923077,nan
semi_sonar_trainnoise0.05,UCI id=151 via ucimlrepo,2,0.95,release_1,granular_ball,logistic,208,60,2,54,1.9259259259259258,2.0,1,5,24,0.7592592592592593,1.0,1.9519643121740249,1.668348596377548,0.9351851851851852,1.0,1.0,1.0,sonar,0.05,member_training_labels_only,0.9443417159763313,0.9467178529829307,0.49038461538461536,nan
semi_sonar_trainnoise0.05,UCI id=151 via ucimlrepo,2,0.95,release_1,granular_ball,random_forest,208,60,2,54,1.9259259259259258,2.0,1,5,24,0.7592592592592593,1.0,1.9519643121740249,1.668348596377548,0.9351851851851852,1.0,1.0,1.0,sonar,0.05,member_training_labels_only,0.9408284023668639,0.9376412033144315,0.5480769230769231,nan
semi_sonar_trainnoise0.05,UCI id=151 via ucimlrepo,2,0.95,release_1,matched_kmeans,logistic,208,60,2,54,1.9259259259259258,1.0,1,12,38,0.7962962962962963,0.9259259259259259,0.880115672635474,0.0,0.9581569664902998,1.0,1.0,1.0,sonar,0.05,member_training_labels_only,0.9296412721893492,0.9342448825468472,0.5865384615384616,nan
semi_sonar_trainnoise0.05,UCI id=151 via ucimlrepo,2,0.95,release_1,matched_kmeans,random_forest,208,60,2,54,1.9259259259259258,1.0,1,12,38,0.7962962962962963,0.9259259259259259,0.880115672635474,0.0,0.9581569664902998,1.0,1.0,1.0,sonar,0.05,member_training_labels_only,0.9192862426035503,0.9211430582576003,0.5480769230769231,nan
semi_sonar_trainnoise0.05,UCI id=151 via ucimlrepo,2,0.95,release_2,granular_ball,logistic,208,60,2,54,1.9259259259259258,2.0,1,5,24,0.7592592592592593,1.0,1.9519643121740249,1.668348596377548,0.9351851851851852,1.0,1.0,1.0,sonar,0.05,member_training_labels_only,0.9692122781065089,0.9732547658392038,0.7596153846153846,nan
semi_sonar_trainnoise0.05,UCI id=151 via ucimlrepo,2,0.95,release_2,granular_ball,random_forest,208,60,2,54,1.9259259259259258,2.0,1,5,24,0.7592592592592593,1.0,1.9519643121740249,1.668348596377548,0.9351851851851852,1.0,1.0,1.0,sonar,0.05,member_training_labels_only,0.9775332840236686,0.9804254135727679,0.8269230769230769,nan
semi_sonar_trainnoise0.05,UCI id=151 via ucimlrepo,2,0.95,release_2,matched_kmeans,logistic,208,60,2,54,1.9259259259259258,1.0,1,12,38,0.7962962962962963,0.9259259259259259,0.880115672635474,0.0,0.9581569664902998,1.0,1.0,1.0,sonar,0.05,member_training_labels_only,0.927237426035503,0.9303899799673986,0.5192307692307693,nan
semi_sonar_trainnoise0.05,UCI id=151 via ucimlrepo,2,0.95,release_2,matched_kmeans,random_forest,208,60,2,54,1.9259259259259258,1.0,1,12,38,0.7962962962962963,0.9259259259259259,0.880115672635474,0.0,0.9581569664902998,1.0,1.0,1.0,sonar,0.05,member_training_labels_only,0.9308431952662721,0.9325531817852082,0.5480769230769231,nan
