trial,family,method,ambient_dimension,label_noise,noise_rate,outlier_rate,mean_accuracy,std_accuracy,mean_reference_accuracy,mean_accuracy_gap,mean_failure_score,std_failure_score,mean_granules,mean_uncertain_ratio
0,gaussian_blobs,original,100,asymmetric,0.2,0.0,0.7722222222222223,0.059447040441757505,0.7638888888888888,0.00833333333333334,0.9596711944869086,0.22428988800682984,104.33333333333333,0.0
0,gaussian_blobs,adaptive,100,asymmetric,0.2,0.0,0.7555555555555555,0.051068823085695096,0.7638888888888888,-0.00833333333333334,1.029461795567358,0.18020721614932275,235.33333333333334,0.0
1,moons,original,100,boundary,0.1,0.05,0.9027777777777778,0.007856742013183834,0.95,-0.0472222222222222,2.0707593679885368,0.545246095971393,19.333333333333332,0.0
1,moons,adaptive,100,boundary,0.1,0.05,0.9694444444444444,0.003928371006591917,0.95,0.019444444444444448,0.6459577767795732,0.1038212008899953,150.33333333333334,0.0
2,circles,original,20,asymmetric,0.2,0.05,0.6888888888888889,0.038689967436622556,0.7472222222222222,-0.05833333333333327,1.2531675458148834,0.11387331816434029,102.66666666666667,0.0
2,circles,adaptive,20,asymmetric,0.2,0.05,0.7305555555555555,0.03747427100897789,0.7472222222222222,-0.016666666666666646,1.0843264793914074,0.10080817285098922,186.33333333333334,0.005952380952380952
3,xor,original,100,none,0.0,0.0,0.7805555555555556,0.01039349274103869,0.85,-0.06944444444444442,1.4637949485503803,0.10659411323210487,62.666666666666664,0.0
3,xor,adaptive,100,none,0.0,0.0,0.7999999999999999,0.037883838047182934,0.85,-0.05000000000000001,1.3264275879980227,0.22416426098030096,85.33333333333333,0.325
4,checkerboard,original,2,none,0.0,0.0,0.7083333333333334,0.037883838047182934,0.7305555555555555,-0.022222222222222216,1.0902933899739882,0.16696974780994514,92,0.0
4,checkerboard,adaptive,2,none,0.0,0.0,0.7277777777777777,0.010393492741038738,0.7305555555555555,-0.002777777777777768,1.016167453277486,0.08668259763840483,83,0.2261904761904762
5,spirals,original,5,symmetric,0.2,0.02,0.5472222222222222,0.033564016593318244,0.6055555555555556,-0.05833333333333338,1.1512011530811166,0.11673865983478697,175.66666666666666,0.0
5,spirals,adaptive,5,symmetric,0.2,0.02,0.5555555555555556,0.03215510250775062,0.6055555555555556,-0.050000000000000044,1.1272113161427897,0.08199741971279934,256.6666666666667,0.0
6,thin_manifold,original,20,boundary,0.1,0.0,0.9305555555555556,0.010393492741038738,0.9416666666666667,-0.011111111111111146,1.23186220760234,0.2543392970658868,14.333333333333334,0.0
6,thin_manifold,adaptive,20,boundary,0.1,0.0,0.9333333333333333,0.006804138174397693,0.9416666666666667,-0.00833333333333334,1.1770248127340828,0.16155554498450034,189,0.005952380952380952
7,nested_clusters,original,5,boundary,0.2,0.0,0.7555555555555555,0.014163943093313291,0.7888888888888889,-0.033333333333333326,1.1885664037751513,0.21990304169954997,81.33333333333333,0.0
7,nested_clusters,adaptive,5,boundary,0.2,0.0,0.7944444444444444,0.02389534796400726,0.7888888888888889,0.005555555555555536,0.9805382724131296,0.05148394847775052,200.66666666666666,0.0
8,anisotropic,original,2,boundary,0.1,0.05,0.9,0.023570226039551553,0.9694444444444444,-0.06944444444444446,3.554256254961223,1.1696588520892457,2,0.0
8,anisotropic,adaptive,2,boundary,0.1,0.05,0.9555555555555556,0.01571348402636772,0.9694444444444444,-0.013888888888888876,1.5729858376076185,0.5433847659217544,14.666666666666666,0.0
9,multimodal_class,original,100,none,0.0,0.02,0.9972222222222222,0.003928371006591917,0.9916666666666667,0.005555555555555573,3.165693321353689,4.3612288816930675,4.333333333333333,0.0
9,multimodal_class,adaptive,100,none,0.0,0.02,1.0,0.0,0.9916666666666667,0.00833333333333334,0.387915543575921,0.43330057780459175,10.333333333333334,0.0
10,varying_density,original,2,asymmetric,0.2,0.0,0.6694444444444444,0.017123372230469367,0.7361111111111112,-0.0666666666666667,1.2520244639345126,0.02630274063213804,105,0.0
10,varying_density,adaptive,2,asymmetric,0.2,0.0,0.6944444444444444,0.007856742013183834,0.7361111111111112,-0.041666666666666706,1.1609185223421985,0.07309717836523742,280,0.0
11,imbalanced_density,original,2,symmetric,0.1,0.05,0.8972222222222223,0.023895347964007302,0.8916666666666667,0.005555555555555573,0.9632082413539366,0.052031404060820435,6,0.0
11,imbalanced_density,adaptive,2,symmetric,0.1,0.05,0.8055555555555556,0.06538112386633238,0.8916666666666667,-0.08611111111111114,1.869840382434898,0.6859939815030189,64.66666666666667,0.0
