dataset,purity,runs,mean_accuracy,std_accuracy,mean_gap,mean_ece,mean_granules,mean_size,mean_runtime,accuracy_regret
openml-1462-banknote-authentication,0.6,3,0.6658576051779935,0.015136154477240857,-0.3341423948220064,0.016134108652492235,3,320.0,0.350475,0.33414239482200647
openml-1462-banknote-authentication,0.7,3,0.8567961165048543,0.0253017730924141,-0.14320388349514565,0.024100636378509382,8,123.42857142857143,0.13723366666666667,0.14320388349514568
openml-1462-banknote-authentication,0.8,3,0.9360841423948221,0.014874414490979149,-0.06391585760517797,0.02017396734587524,12.666666666666666,82.85714285714286,0.13586566666666666,0.06391585760517793
openml-1462-banknote-authentication,0.85,3,0.9563106796116505,0.009081692686344513,-0.043689320388349495,0.00779124068229231,15.666666666666666,61.680672268907564,0.13788999999999998,0.043689320388349495
openml-1462-banknote-authentication,0.9,3,0.9862459546925566,0.0049873899700396225,-0.01375404530744336,0.003179037248638513,21.333333333333332,45.15113871635611,0.142269,0.013754045307443397
openml-1462-banknote-authentication,0.95,3,0.9919093851132686,0.008250840636881526,-0.008090614886731387,0.005971798941898106,26.333333333333332,38.293995859213254,0.14235266666666666,0.008090614886731351
openml-1462-banknote-authentication,1.0,3,1.0,0.0,0.0,0.0,41.666666666666664,23.636363636363637,0.15010433333333334,0.0
openml-1489-phoneme,0.6,3,0.7066666666666667,0.0,-0.20044444444444445,9.523809523825921e-05,1,3500.0,0.5170443333333333,0.18488888888888888
openml-1489-phoneme,0.7,3,0.7066666666666667,0.0,-0.20044444444444445,9.523809523825921e-05,1,3500.0,0.5054153333333333,0.18488888888888888
openml-1489-phoneme,0.8,3,0.8475555555555555,0.01812167381144457,-0.059555555555555584,0.05171802202386372,412.3333333333333,8.649633359043625,0.6762293333333333,0.04400000000000004
openml-1489-phoneme,0.85,3,0.8597777777777778,0.022838131423423894,-0.04733333333333334,0.07013831857700463,602.6666666666666,5.945002366656308,0.7490486666666667,0.031777777777777794
openml-1489-phoneme,0.9,3,0.8851111111111111,0.0065395284309165205,-0.02200000000000002,0.08115010320608355,782,4.478222672574103,0.8262466666666667,0.006444444444444475
openml-1489-phoneme,0.95,3,0.8877777777777778,0.008152860590152947,-0.019333333333333313,0.10065173484794676,960.3333333333334,3.6489127622347355,0.9029349999999999,0.003777777777777769
openml-1489-phoneme,1.0,3,0.8915555555555555,0.007390350732584848,-0.015555555555555545,0.10844444444444441,1102,3.1773658032837058,0.959547,0.0
openml-151-electricity,0.6,3,0.6395555555555555,0.02075845804116755,-0.18355555555555558,0.022871742886336918,70,54.6477850399419,0.6122093333333334,0.05844444444444441
openml-151-electricity,0.7,3,0.6804444444444444,0.014810740180401474,-0.14266666666666664,0.10739370606894401,578.3333333333334,6.056431261243916,0.778581,0.017555555555555546
openml-151-electricity,0.8,3,0.6964444444444444,0.010188349676753458,-0.12666666666666662,0.21447137961928603,1277,2.7408065825598786,1.0086166666666667,0.0015555555555555323
openml-151-electricity,0.85,3,0.698,0.007906865277625411,-0.1251111111111111,0.2619160680510425,1622.6666666666667,2.1573015018514012,1.14242,0.0
openml-151-electricity,0.9,3,0.6977777777777778,0.008456132262417988,-0.1253333333333333,0.28876950916898897,1834.3333333333333,1.9091829935946354,1.2457006666666668,0.00022222222222212373
openml-151-electricity,0.95,3,0.6977777777777777,0.007549016778428012,-0.12533333333333332,0.3003335655586577,1972.6666666666667,1.7747579412832513,1.3177703333333333,0.00022222222222223476
openml-151-electricity,1.0,3,0.698,0.008128596070298645,-0.1251111111111111,0.302,1998.6666666666667,1.751745487626767,1.331387,0.0
openml-40-sonar,0.6,3,0.6613756613756614,0.0523782800878924,-0.21164021164021163,0.04389759270711655,11.666666666666666,13.291666666666666,0.115355,0.15343915343915338
openml-40-sonar,0.7,3,0.7354497354497355,0.03261594710565598,-0.13756613756613756,0.08478403407146837,33,4.67381155360695,0.12444166666666666,0.0793650793650793
openml-40-sonar,0.8,3,0.7619047619047619,0.06857926664981863,-0.11111111111111112,0.16553721721788947,52.666666666666664,2.88707880813144,0.13241366666666668,0.05291005291005291
openml-40-sonar,0.85,3,0.798941798941799,0.019797129030549934,-0.07407407407407407,0.17213940656984542,58,2.572872150997151,0.144034,0.015873015873015817
openml-40-sonar,0.9,3,0.8095238095238095,0.0,-0.06349206349206345,0.179412562745896,64.33333333333333,2.2661396574440054,0.140632,0.005291005291005235
