dataset,seed,method,weighted_train_optimism,weighted_calibration_error,high_purity_small_gap,high_purity_small_mass,native_construction_overlap,mean_structure_support,min_structure_support,ball_count
dry_bean,7,cart_matched_leaf_count,0.12499999999999946,0.035169739264566874,0.5000000000000011,0.0888888888888876,1.0,23.41860465116279,1,43
dry_bean,7,gb_adaptive_parameter_free,0.12083333333333342,-0.008139534883721081,0.12209302325581409,0.9555555555555386,1.0,1.4193548387096775,1,248
dry_bean,7,gb_fixed_p090,0.0790113690413566,0.0323195511971021,0.18571428571428486,0.19444444444444217,0.9629629629629628,15.87719298245614,1,57
dry_bean,7,kmeans_matched_adaptive_gb,0.10324074074074066,-0.006097560975609517,0.10614525139664793,0.9944444444444243,1.0,1.2234042553191489,1,282
dry_bean,7,kmeans_matched_fixed_gb,0.016473812589008388,-0.010123585123585167,0.04081632653061206,0.27222222222221887,1.0,7.1923076923076925,1,130
dry_bean,21,cart_matched_adaptive_leaf_count,0.09722222222222118,-0.03286634527257277,0.49999999999999867,0.1333333333333311,1.0,19.41176470588235,1,51
dry_bean,21,cart_matched_leaf_count,0.09722222222222118,-0.03286634527257277,0.49999999999999867,0.1333333333333311,1.0,19.41176470588235,1,51
dry_bean,21,gb_adaptive_parameter_free,0.09166666666666656,-0.02564102564102563,0.0959302325581395,0.9555555555555375,0.9972222222222222,1.3190661478599222,1,257
dry_bean,21,gb_fixed_p090,0.03368881449867833,-0.043097654347988415,0.23809523809523908,0.1166666666666651,0.950925925925926,22.046511627906977,1,43
dry_bean,21,kmeans_matched_adaptive_gb,0.09166666666666685,-0.049382716049383164,0.09090909090909102,0.9777777777777579,1.0,1.1413427561837455,1,283
dry_bean,21,kmeans_matched_fixed_gb,-0.007320656317366799,-0.028158947970268577,0.02127659574468052,0.13055555555555393,1.0,9.226415094339623,1,106
iris,1,cart_matched_adaptive_leaf_count,0.09999999999999992,0.0,0.6666666666666666,0.0999999999999999,1.0,17.2,1,5
iris,1,cart_matched_leaf_count,0.09999999999999992,0.0,0.6666666666666666,0.0999999999999999,1.0,17.2,1,5
iris,1,gb_adaptive_parameter_free,0.06666666666666665,0.0,0.06666666666666665,0.9999999999999991,1.0,1.0,1,25
iris,1,gb_fixed_p090,0.04841269841269837,-0.038095238095238085,0.2,0.1666666666666665,1.0,8.2,1,10
iris,1,kmeans_matched_adaptive_gb,0.06666666666666665,0.0,0.06666666666666665,0.9999999999999991,1.0,1.0,1,25
iris,1,kmeans_matched_fixed_gb,0.033333333333333354,-0.01666666666666664,0.10000000000000003,0.33333333333333315,1.0,5.928571428571429,2,14
iris,7,cart_matched_adaptive_leaf_count,0.033333333333333305,0.0,0.5,0.0666666666666666,1.0,17.0,1,5
iris,7,cart_matched_leaf_count,0.033333333333333305,0.0,0.5,0.0666666666666666,1.0,17.0,1,5
iris,7,gb_adaptive_parameter_free,0.03333333333333333,-0.16666666666666666,0.03333333333333333,0.999999999999999,1.0,1.0,1,24
iris,7,gb_fixed_p090,0.060416666666666646,3.7172645913788733e-17,0.16666666666666657,0.1999999999999999,0.9444444444444444,9.666666666666666,1,9
iris,7,kmeans_matched_adaptive_gb,0.033333333333333326,-0.16666666666666666,0.033333333333333326,0.9999999999999991,1.0,1.0,1,24
iris,7,kmeans_matched_fixed_gb,-0.05945767195767194,-0.03333333333333332,0.0,0.0666666666666666,1.0,8.7,4,10
iris,21,cart_matched_adaptive_leaf_count,0.033333333333333305,0.016666666666666653,0.0,0.0666666666666666,1.0,17.6,2,5
