experiment_id,seed,collusion_strength,drift,malicious_ratio,method,n_auditors,n_groups,additional_audit_cost,decision_delay,false_rejection_rate,false_trust_rate,final_audit_accuracy,malicious_auprc,malicious_auroc
multi-auditor-v1-s42,42,0.5,0.0,0.3,knn_competence,20,,0.0,1.6199397261480333,0.0,0.5,0.9933333333333333,0.7229437229437229,0.761904761904762
multi-auditor-v1-s42,42,0.5,0.0,0.3,majority_vote,20,,0.0,1.6199397261480333,0.0,1.0,0.9633333333333334,0.3,0.5
multi-auditor-v1-s42,42,0.5,0.0,0.3,tree_partition,20,1.0,0.0,1.6199397261480333,0.0,1.0,0.9633333333333334,0.3,0.5
multi-auditor-v1-s42,42,0.5,0.0,0.3,weighted_majority,20,,0.0,1.6877106236039576,0.0,0.5,0.9966666666666667,0.722943722943723,0.761904761904762
multi-auditor-v1-s2026,2026,0.5,0.0,0.3,beta_reputation,20,,0.0,1.5449941091753072,0.0,0.5,0.98,0.6637426900584795,0.6488095238095238
multi-auditor-v1-s2026,2026,0.5,0.0,0.3,dawid_skene,20,,0.0,1.5449941091753072,0.0,0.0,1.0,1.0,1.0
multi-auditor-v1-s2026,2026,0.5,0.0,0.3,gb_three_way,20,2.0,0.0,1.6238554081174454,0.0,0.5,0.9866666666666667,0.65,0.75
multi-auditor-v1-s2026,2026,0.5,0.0,0.3,granular_ball,20,2.0,0.0,1.5449941091753072,0.0,0.5,0.98,0.65,0.75
multi-auditor-v1-s2026,2026,0.5,0.0,0.3,kmeans_trust,20,2.0,0.0,1.5449941091753072,0.0,0.5,0.98,0.65,0.75
multi-auditor-v1-s2026,2026,0.5,0.0,0.3,knn_competence,20,,0.0,1.5449941091753072,0.0,0.5,0.98,0.6637426900584795,0.6488095238095238
multi-auditor-v1-s2026,2026,0.5,0.0,0.3,majority_vote,20,,0.0,1.5449941091753072,0.0,1.0,0.9533333333333334,0.3,0.5
multi-auditor-v1-s2026,2026,0.5,0.0,0.3,tree_partition,20,2.0,0.0,1.5449941091753072,0.0,0.5,0.98,0.65,0.75
multi-auditor-v1-s2026,2026,0.5,0.0,0.3,weighted_majority,20,,0.0,1.6238554081174454,0.07142857142857142,0.5,0.9933333333333333,0.6637426900584795,0.6488095238095238
multi-auditor-v1-s1,1,0.5,0.2,0.3,beta_reputation,20,,0.0,1.5083106036782756,0.0,0.5,0.7233333333333334,0.6961371961371962,0.7321428571428571
multi-auditor-v1-s1,1,0.5,0.2,0.3,dawid_skene,20,,0.0,1.5083106036782756,0.0,0.0,0.5033333333333333,0.19225289531017087,0.0
multi-auditor-v1-s1,1,0.5,0.2,0.3,gb_three_way,20,3.0,0.0,1.5616482367756361,0.0,0.5,0.7533333333333333,0.65,0.75
multi-auditor-v1-s1,1,0.5,0.2,0.3,granular_ball,20,3.0,0.0,1.5083106036782756,0.0,0.5,0.7066666666666667,0.6764705882352942,0.8035714285714286
multi-auditor-v1-s1,1,0.5,0.2,0.3,kmeans_trust,20,3.0,0.0,1.5083106036782756,0.0,0.5,0.7066666666666667,0.6764705882352942,0.8035714285714286
multi-auditor-v1-s1,1,0.5,0.2,0.3,knn_competence,20,,0.0,1.5083106036782756,0.0,0.5,0.7233333333333334,0.6961371961371962,0.7321428571428571
multi-auditor-v1-s1,1,0.5,0.2,0.3,majority_vote,20,,0.0,1.5083106036782756,0.0,1.0,0.59,0.3,0.5
multi-auditor-v1-s1,1,0.5,0.2,0.3,tree_partition,20,3.0,0.0,1.5083106036782756,0.0,0.5,0.7233333333333334,0.65,0.6785714285714286
